ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
11,165,10,164,0,8935086,4294967295,18446744073709551615,0,0
10,172,3,169,0,6612132,4294967295,18446744073709551615,0,0
15,154,-1,160,0,10513840,4294967295,18446744073709551615,0,0
12,152,11,152,0,7420305,4294967295,18446744073709551615,0,0
9,139,12,159,0,15395893,4294967295,18446744073709551615,0,0
8,130,27,146,0,3697606,4294967295,18446744073709551615,0,0
0,138,26,135,0,7096768,4294967295,18446744073709551615,0,0
11,165,7,159,0,10574113,4294967295,18446744073709551615,0,0
13,166,7,162,0,16210202,4294967295,18446744073709551615,0,0
11,166,9,159,0,1568138,4294967295,18446744073709551615,0,0
11,168,7,156,0,11206154,4294967295,18446744073709551615,0,0
12,160,12,156,0,14966266,4294967295,18446744073709551615,0,0
6,163,7,158,0,15979258,4294967295,18446744073709551615,0,0
8,167,6,162,0,1735918,4294967295,18446744073709551615,0,0
11,162,2,160,0,1645401,4294967295,18446744073709551615,0,0
13,164,8,162,0,11372059,4294967295,18446744073709551615,0,0
9,164,10,160,0,2633834,4294967295,18446744073709551615,0,0
13,164,4,161,0,14689968,4294967295,18446744073709551615,0,0
12,167,7,160,0,9949458,4294967295,18446744073709551615,0,0
9,171,6,170,0,11819495,4294967295,18446744073709551615,0,0
10,172,4,169,0,7145734,4294967295,18446744073709551615,0,0
7,174,3,167,0,4809856,4294967295,18446744073709551615,0,0
11,174,4,173,0,9829982,4294967295,18446744073709551615,0,0
11,178,5,169,0,12127313,4294967295,18446744073709551615,0,0
0,148,17,145,0,12571359,4294967295,18446744073709551615,0,0
4,149,5,145,0,15659815,4294967295,18446744073709551615,0,0
6,144,17,145,0,11648850,4294967295,18446744073709551615,0,0
10,150,22,142,0,1685152,4294967295,18446744073709551615,0,0
8,146,24,142,0,748074,4294967295,18446744073709551615,0,0
11,160,15,150,0,1380678,4294967295,18446744073709551615,0,0
9,154,21,144,0,12500083,4294967295,18446744073709551615,0,0
8,144,16,150,0,6119306,4294967295,18446744073709551615,0,0
2,143,19,141,0,11475545,4294967295,18446744073709551615,0,0
11,161,2,151,0,16746278,4294967295,18446744073709551615,0,0
16,149,28,147,0,8964889,4294967295,18446744073709551615,0,0
5,143,21,144,0,13526401,4294967295,18446744073709551615,0,0
14,149,20,146,0,13471447,4294967295,18446744073709551615,0,0
6,151,23,148,0,3365825,4294967295,18446744073709551615,0,0
3,146,20,142,0,900781,4294967295,18446744073709551615,0,0
13,146,16,147,0,6719246,4294967295,18446744073709551615,0,0
6,149,13,148,0,15644406,4294967295,18446744073709551615,0,0
10,153,16,149,0,2808605,4294967295,18446744073709551615,0,0
6,158,9,159,0,6576600,4294967295,18446744073709551615,0,0
7,160,14,151,0,780598,4294967295,18446744073709551615,0,0
16,147,21,143,0,6743300,4294967295,18446744073709551615,0,0
3,143,29,144,0,108688,4294967295,18446744073709551615,0,0
11,152,11,147,0,885504,4294967295,18446744073709551615,0,0
15,146,15,138,0,13006375,4294967295,18446744073709551615,0,0
14,150,20,147,0,5238931,4294967295,18446744073709551615,0,0
19,153,11,142,0,13145234,4294967295,18446744073709551615,0,0
15,154,22,150,0,16469449,4294967295,18446744073709551615,0,0
15,156,14,148,0,8151035,4294967295,18446744073709551615,0,0
17,142,9,136,0,1969478,4294967295,18446744073709551615,0,0
12,149,20,148,0,849855,4294967295,18446744073709551615,0,0
9,153,19,148,0,7032413,4294967295,18446744073709551615,0,0
11,165,2,159,0,1198219,4294967295,18446744073709551615,0,0
13,156,18,150,0,10330743,4294967295,18446744073709551615,0,0
2,158,7,161,0,15239947,4294967295,18446744073709551615,0,0
12,172,3,162,0,2557518,4294967295,18446744073709551615,0,0
15,162,3,157,0,8609414,4294967295,18446744073709551615,0,0
11,156,9,150,0,14563445,4294967295,18446744073709551615,0,0
16,149,22,140,0,14427930,4294967295,18446744073709551615,0,0
4,152,24,147,0,6438031,4294967295,18446744073709551615,0,0
0,150,25,143,0,10886834,4294967295,18446744073709551615,0,0
3,147,8,146,0,14508685,4294967295,18446744073709551615,0,0
12,155,11,168,0,15719684,4294967295,18446744073709551615,0,0
17,151,13,143,0,8742262,4294967295,18446744073709551615,0,0
14,157,19,152,0,9185260,4294967295,18446744073709551615,0,0
16,151,25,149,0,4331217,4294967295,18446744073709551615,0,0
17,146,29,137,0,14703272,4294967295,18446744073709551615,0,0
16,149,23,145,0,8493493,4294967295,18446744073709551615,0,0
1,130,28,131,0,16354227,4294967295,18446744073709551615,0,0
11,170,5,163,0,14875077,4294967295,18446744073709551615,0,0
7,167,6,162,0,1466535,4294967295,18446744073709551615,0,0
11,173,4,167,0,4366932,4294967295,18446744073709551615,0,0
11,168,9,163,0,6515892,4294967295,18446744073709551615,0,0
6,169,4,164,0,12425197,4294967295,18446744073709551615,0,0
11,168,6,160,0,9426664,4294967295,18446744073709551615,0,0
14,169,11,161,0,14038602,4294967295,18446744073709551615,0,0
10,173,5,164,0,4357918,4294967295,18446744073709551615,0,0
11,169,4,166,0,13951874,4294967295,18446744073709551615,0,0
9,168,7,160,0,14081236,4294967295,18446744073709551615,0,0
11,168,7,162,0,9172157,4294967295,18446744073709551615,0,0
12,169,5,164,0,16188003,4294967295,18446744073709551615,0,0
9,168,10,162,0,13483988,4294967295,18446744073709551615,0,0
12,170,6,174,0,1213515,4294967295,18446744073709551615,0,0
9,165,8,172,0,11164530,4294967295,18446744073709551615,0,0
11,167,12,162,0,2206259,4294967295,18446744073709551615,0,0
9,171,5,166,0,13137708,4294967295,18446744073709551615,0,0
9,173,4,172,0,10855620,4294967295,18446744073709551615,0,0
12,171,5,164,0,11912710,4294967295,18446744073709551615,0,0
12,168,4,167,0,7617712,4294967295,18446744073709551615,0,0
8,168,6,166,0,10067970,4294967295,18446744073709551615,0,0
10,169,11,161,0,3323433,4294967295,18446744073709551615,0,0
10,169,7,163,0,16478961,4294967295,18446744073709551615,0,0
8,165,7,161,0,16751823,4294967295,18446744073709551615,0,0
12,169,6,163,0,9753643,4294967295,18446744073709551615,0,0
13,171,6,162,0,432580,4294967295,18446744073709551615,0,0
11,177,3,171,0,6584806,4294967295,18446744073709551615,0,0
12,151,13,142,0,7182995,4294967295,18446744073709551615,0,0
0,144,25,141,0,3062308,4294967295,18446744073709551615,0,0
11,153,8,148,0,235165,4294967295,18446744073709551615,0,0
12,166,0,140,0,3792862,4294967295,18446744073709551615,0,0
10,144,29,142,0,15017140,4294967295,18446744073709551615,0,0
4,143,23,142,0,12812761,4294967295,18446744073709551615,0,0
7,150,20,145,0,15372529,4294967295,18446744073709551615,0,0
10,151,17,145,0,11848420,4294967295,18446744073709551615,0,0
10,165,19,147,0,7482178,4294967295,18446744073709551615,0,0
1,141,28,139,0,3747971,4294967295,18446744073709551615,0,0
20,143,21,139,0,13240232,4294967295,18446744073709551615,0,0
2,143,23,143,0,3961934,4294967295,18446744073709551615,0,0
9,173,5,168,0,15489206,4294967295,18446744073709551615,0,0
11,175,4,169,0,2938109,4294967295,18446744073709551615,0,0
8,171,3,166,0,1540050,4294967295,18446744073709551615,0,0
11,171,5,165,0,489809,4294967295,18446744073709551615,0,0
10,169,4,163,0,5466997,4294967295,18446744073709551615,0,0
8,168,5,163,0,1334161,4294967295,18446744073709551615,0,0
8,168,5,166,0,1001910,4294967295,18446744073709551615,0,0
10,169,8,162,0,6151658,4294967295,18446744073709551615,0,0
12,182,2,176,0,12942512,4294967295,18446744073709551615,0,0
10,151,21,146,0,6444952,4294967295,18446744073709551615,0,0
0,154,21,146,0,9693325,4294967295,18446744073709551615,0,0
13,159,10,140,0,11560253,4294967295,18446744073709551615,0,0
13,142,23,141,0,13987062,4294967295,18446744073709551615,0,0
17,144,24,140,0,13386412,4294967295,18446744073709551615,0,0
15,139,17,137,0,11533601,4294967295,18446744073709551615,0,0
13,144,25,144,0,14782214,4294967295,18446744073709551615,0,0
4,25,24,49,0,12324859,4294967295,18446744073709551615,0,0
25,72,22,63,0,6083456,4294967295,18446744073709551615,0,0
22,103,9,178,0,9178639,4294967295,18446744073709551615,0,0
10,171,0,165,0,6788530,4294967295,18446744073709551615,0,0
10,164,13,155,0,5437991,4294967295,18446744073709551615,0,0
11,169,6,162,0,11020312,4294967295,18446744073709551615,0,0
11,167,2,161,0,8783391,4294967295,18446744073709551615,0,0
11,173,2,171,0,5297615,4294967295,18446744073709551615,0,0
6,145,5,135,0,6432227,4294967295,18446744073709551615,0,0
14,151,5,143,0,14336616,4294967295,18446744073709551615,0,0
18,144,20,140,0,12150592,4294967295,18446744073709551615,0,0
0,136,20,132,0,9636775,4294967295,18446744073709551615,0,0
13,166,5,161,0,4626277,4294967295,18446744073709551615,0,0
9,172,3,162,0,886653,4294967295,18446744073709551615,0,0
12,170,5,160,0,570034,4294967295,18446744073709551615,0,0
11,176,6,172,0,203965,4294967295,18446744073709551615,0,0
18,169,3,167,0,2215915,4294967295,18446744073709551615,0,0
11,167,3,164,0,12959373,4294967295,18446744073709551615,0,0
10,173,0,168,0,5290840,4294967295,18446744073709551615,0,0
12,169,4,161,0,15031175,4294967295,18446744073709551615,0,0
11,169,7,163,0,4940370,4294967295,18446744073709551615,0,0
10,168,9,161,0,11144724,4294967295,18446744073709551615,0,0
9,169,4,164,0,6647052,4294967295,18446744073709551615,0,0
9,169,9,165,0,14384181,4294967295,18446744073709551615,0,0
12,168,6,158,0,3399138,4294967295,18446744073709551615,0,0
16,148,8,155,0,13746242,4294967295,18446744073709551615,0,0
13,163,6,152,0,1374797,4294967295,18446744073709551615,0,0
9,160,9,151,0,2376045,4294967295,18446744073709551615,0,0
10,142,27,140,0,6525540,4294967295,18446744073709551615,0,0
15,143,21,139,0,3369433,4294967295,18446744073709551615,0,0
10,141,25,139,0,12104579,4294967295,18446744073709551615,0,0
12,135,24,134,0,12644842,4294967295,18446744073709551615,0,0
12,169,4,162,0,7472872,4294967295,18446744073709551615,0,0
13,151,5,149,0,3342104,4294967295,18446744073709551615,0,0
-6,135,28,132,0,6592571,4294967295,18446744073709551615,0,0
3,153,18,149,0,13157154,4294967295,18446744073709551615,0,0
13,165,12,159,0,6569475,4294967295,18446744073709551615,0,0
13,158,8,152,0,1957750,4294967295,18446744073709551615,0,0
8,165,16,160,0,13142857,4294967295,18446744073709551615,0,0
