msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,50,51,12,27,21,69,214,14,0,0,28,0
1,1,50,51,12,27,21,69,215,14,0,0,30,0
1,1,49,51,12,27,21,69,216,14,0,0,29,0
1,1,49,51,12,27,20,69,217,14,0,0,30,0
1,1,48,51,12,27,21,69,218,14,0,0,30,0
1,1,49,51,12,27,20,69,219,14,0,0,28,0
1,1,48,51,12,27,21,69,220,14,0,0,29,0
1,1,51,51,12,27,21,69,221,14,0,0,30,0
1,1,54,54,12,27,22,69,222,14,0,0,30,0
1,1,50,54,12,27,21,69,223,14,0,0,28,0
1,1,49,54,12,27,21,69,224,14,0,0,29,0
1,1,49,54,12,27,21,69,225,14,0,0,31,0
1,1,47,54,12,27,21,69,226,14,0,0,30,0
1,1,48,54,12,27,21,69,227,14,0,0,32,0
1,1,49,54,12,27,21,69,228,14,0,0,30,0
1,1,53,54,12,27,21,69,229,14,0,0,28,0
1,1,53,54,12,27,21,69,230,14,0,0,29,0
1,1,52,54,12,27,20,69,231,14,0,0,30,0
1,1,52,54,12,27,21,69,232,14,0,0,28,0
1,1,53,54,12,27,21,69,233,14,0,0,28,0
1,1,54,54,12,27,21,69,234,14,0,0,28,0
1,1,53,54,12,27,21,69,235,14,0,0,28,0
1,1,54,54,12,27,21,69,236,14,0,0,30,0
1,1,54,54,12,27,21,69,237,14,0,0,28,0
1,1,53,54,12,27,21,69,238,14,0,0,28,0
1,1,54,54,12,27,21,69,239,14,0,0,29,0
1,1,52,54,12,27,21,69,240,14,0,0,31,0
1,1,52,54,12,27,21,69,241,14,0,0,28,0
1,1,53,54,12,27,21,69,242,14,0,0,27,0
1,1,53,54,12,27,21,69,243,14,0,0,30,0
1,1,51,54,12,27,20,69,244,14,0,0,28,0
1,1,51,54,12,27,21,69,245,14,0,0,28,0
1,1,51,54,12,27,21,69,246,14,0,0,29,0
1,1,51,54,12,27,21,69,247,14,0,0,31,0
1,1,51,54,12,27,21,69,248,14,0,0,28,0
1,1,53,54,12,27,21,69,249,14,0,0,29,0
1,1,49,54,12,27,20,69,250,14,0,0,30,0
1,1,50,54,12,27,21,69,251,14,0,0,31,0
1,1,49,54,12,27,20,69,252,14,0,0,31,0
1,1,50,54,12,27,21,69,253,14,0,0,31,0
1,1,50,54,12,27,21,69,254,14,0,0,30,0
1,1,49,54,12,27,21,69,255,14,0,0,31,0
1,1,49,54,12,27,21,69,256,14,0,0,28,0
1,1,49,54,12,27,21,69,257,14,0,0,30,0
1,1,50,54,12,27,19,69,258,14,0,0,31,0
1,1,51,54,12,27,21,69,259,14,0,0,30,0
1,1,49,54,12,27,21,69,260,14,0,0,31,0
1,1,49,54,12,27,21,69,261,14,0,0,30,0
1,1,48,54,12,27,21,69,262,14,0,0,30,0
1,1,50,54,12,27,21,69,263,14,0,0,29,0
1,1,48,54,12,27,21,69,264,14,0,0,31,0
1,1,47,54,12,27,20,69,265,14,0,0,30,0
1,1,46,54,12,27,20,69,266,14,0,0,31,0
1,1,47,54,12,27,19,69,267,14,0,0,31,0
1,1,50,54,12,27,20,69,268,14,0,0,30,0
1,1,48,54,12,27,21,69,269,14,0,0,33,0
1,1,48,54,12,27,20,69,270,14,0,0,31,0
1,1,48,54,12,27,21,69,271,14,0,0,29,0
1,1,46,54,12,27,20,69,272,14,0,0,32,0
1,1,46,54,12,27,19,69,273,14,0,0,31,0
1,1,46,54,12,27,19,69,274,14,0,0,31,0
1,1,48,54,12,27,19,69,275,14,0,0,29,0
1,1,47,54,12,27,21,69,276,14,0,0,30,0
1,1,48,54,12,27,20,69,277,14,0,0,28,0
1,1,48,54,12,27,21,69,278,14,0,0,29,0
1,1,48,54,12,27,19,69,279,14,0,0,30,0
1,1,48,54,12,27,19,69,280,14,0,0,30,0
1,1,53,54,12,27,21,69,281,14,0,0,32,0
1,1,50,54,12,27,21,69,282,14,0,0,30,0
1,1,50,54,12,27,21,69,283,14,0,0,32,0
1,1,49,54,12,27,21,69,284,14,0,0,30,0
1,1,50,54,12,27,21,69,285,14,0,0,32,0
1,1,49,54,12,27,20,69,286,14,0,0,30,0
1,1,50,54,12,27,20,69,287,14,0,0,31,0
1,1,49,54,12,27,21,69,288,14,0,0,31,0
1,1,51,54,12,27,20,69,289,14,0,0,31,0
1,1,51,54,12,27,21,69,290,14,0,0,32,0
1,1,50,54,12,27,21,69,291,14,0,0,31,0
1,1,49,54,12,27,21,69,292,14,0,0,29,0
1,1,50,54,12,27,21,69,293,14,0,0,28,0
1,1,54,54,12,27,19,69,294,14,0,0,31,0
1,1,48,54,12,27,21,69,295,14,0,0,31,0
1,1,49,54,12,27,21,69,296,14,0,0,29,0
1,1,52,54,12,27,19,69,297,14,0,0,30,0
1,1,49,54,12,27,21,69,298,14,0,0,32,0
1,1,52,54,12,27,21,69,299,14,0,0,30,0
1,1,53,54,12,27,21,69,300,14,0,0,30,0
1,1,54,54,12,27,20,69,301,14,0,0,29,0
1,1,54,54,12,27,21,69,302,14,0,0,30,0
1,1,54,54,12,27,20,69,303,14,0,0,30,0
1,1,55,55,12,27,21,69,304,14,0,0,29,0
1,1,53,55,12,27,20,69,305,14,0,0,31,0
1,1,51,55,12,27,21,69,306,14,0,0,30,0
1,1,51,55,12,27,21,69,307,14,0,0,33,0
1,1,50,55,12,27,20,69,308,14,0,0,32,0
1,1,52,55,12,27,21,69,309,14,0,0,29,0
1,1,52,55,12,27,21,69,310,14,0,0,32,0
1,1,52,55,12,27,20,69,311,14,0,0,31,0
1,1,52,55,12,27,20,69,312,14,0,0,29,0
1,1,52,55,12,27,21,69,313,14,0,0,32,0
1,1,51,55,12,27,20,69,314,14,0,0,32,0
1,1,51,55,12,27,21,69,315,14,0,0,31,0
1,1,52,55,12,27,21,69,316,14,0,0,31,0
1,1,51,55,12,27,21,69,317,14,0,0,31,0
