iTOW,clkB,clkD,tAcc,fAcc
91494000,809305,175,6,541
91495000,809480,175,6,551
91496000,809655,174,6,578
91497000,809830,174,6,597
91498000,810004,174,6,580
91499000,810179,174,6,570
91500000,810353,174,6,557
91501000,810526,174,6,551
91502000,810700,174,6,532
91503000,810874,174,6,535
91504000,811049,175,6,535
91505000,811224,175,6,589
91506000,811399,175,6,702
91507000,811574,175,6,592
91508000,811749,175,6,543
91509000,811924,175,6,499
91510000,812098,174,6,566
91511000,812273,174,6,493
91512000,812447,174,6,512
91513000,812622,175,6,555
91514000,812796,174,6,588
91515000,812968,171,6,673
91516000,813140,172,6,753
91517000,813312,171,6,719
91518000,813483,171,6,752
91519000,813654,172,6,784
91520000,813825,170,6,794
91521000,813996,172,6,764
91522000,814169,174,6,760
91523000,814345,176,6,754
91524000,814522,177,6,736
91525000,814699,177,6,706
91526000,814876,178,6,763
91527000,815054,177,6,816
91528000,815232,178,6,796
91529000,815411,179,6,845
91530000,815591,179,6,794
91531000,815772,181,6,771
91532000,815954,182,7,775
91533000,816136,182,7,852
91534000,816317,180,7,844
91535000,816497,180,7,835
91536000,816678,182,7,807
91537000,816860,182,7,893
91538000,817043,183,7,803
91539000,817228,184,7,881
91540000,817412,184,7,840
91541000,817596,182,7,852
91542000,817778,182,7,851
91543000,817960,182,7,874
91544000,818141,182,7,1002
91545000,818324,181,7,936
91546000,818506,182,7,926
91547000,818688,181,8,1026
91548000,818871,182,8,1068
91549000,819053,182,8,1012
91550000,819235,182,8,1054
91551000,819418,182,8,1040
91552000,819601,182,8,1078
91553000,819783,182,8,1145
91554000,819966,182,9,1058
91555000,820148,182,9,1034
91556000,820331,183,9,1036
91557000,820514,183,9,987
91558000,820697,183,9,916
91559000,820880,183,9,953
91560000,821064,183,9,957
91561000,821248,184,9,939
91562000,821431,183,9,970
91563000,821614,183,9,882
91564000,821796,182,9,946
91565000,821978,183,9,1030
91566000,822161,183,9,833
91567000,822345,184,9,866
91568000,822530,184,9,833
91569000,822716,184,9,846
91570000,822900,184,9,904
91571000,823083,184,9,924
91572000,823267,183,9,1021
91573000,823451,184,9,996
91574000,823635,184,10,985
91575000,823821,184,10,1017
91576000,824006,184,10,1012
91577000,824190,183,10,1023
91578000,824372,181,10,991
91579000,824553,181,10,1045
91580000,824733,180,10,900
91581000,824914,180,10,864
91582000,825094,179,10,976
91583000,825275,180,9,865
91584000,825454,178,9,785
91585000,825633,178,9,775
91586000,825813,179,9,837
91587000,825994,180,9,829
91588000,826175,180,9,817
91589000,826355,180,9,827
91590000,826535,180,9,763
91591000,826715,180,9,717
91592000,826895,180,9,737
91593000,827075,180,9,783
91594000,827255,181,9,800
91595000,827436,181,9,773
91596000,827617,181,9,800
91597000,827798,181,9,830
91598000,827979,181,9,795
91599000,828160,181,9,778
91600000,828341,181,9,782
91601000,828522,181,9,779
91602000,828704,182,9,827
91603000,828886,182,9,825
91604000,829067,181,9,872
91605000,829249,181,9,839
91606000,829431,182,9,793
91607000,829613,182,9,808
91608000,829795,182,9,861
91609000,829978,182,9,856
91610000,830160,181,9,779
91611000,830342,182,9,784
91612000,830525,183,9,777
91613000,830708,184,9,747
91614000,830892,183,9,797
91615000,831076,185,9,975
91616000,831260,186,9,852
91617000,831445,184,8,747
91618000,831629,184,8,761
91619000,831812,183,8,676
91620000,831995,183,8,691
91621000,832178,183,8,687
