iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
91494000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91495000,1.47,1.25,0.76,1.1,0.6,0.39,0.46
91496000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91497000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91498000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91499000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91500000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91501000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91502000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91503000,1.51,1.29,0.79,1.13,0.63,0.39,0.49
91504000,1.48,1.26,0.78,1.1,0.62,0.39,0.48
91505000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91506000,1.48,1.26,0.78,1.1,0.62,0.39,0.48
91507000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91508000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91509000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91510000,1.48,1.26,0.78,1.1,0.62,0.39,0.48
91511000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91512000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91513000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91514000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91515000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91516000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91517000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91518000,1.43,1.22,0.75,1.06,0.6,0.39,0.45
91519000,1.43,1.21,0.75,1.06,0.59,0.38,0.45
91520000,1.48,1.25,0.78,1.1,0.61,0.38,0.48
91521000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91522000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91523000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91524000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91525000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91526000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91527000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91528000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91529000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91530000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91531000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91532000,1.43,1.22,0.75,1.06,0.6,0.37,0.47
91533000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91534000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91535000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91536000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91537000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91538000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91539000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91540000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91541000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91542000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91543000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91544000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91545000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91546000,1.49,1.26,0.79,1.09,0.63,0.37,0.51
91547000,1.49,1.26,0.79,1.1,0.63,0.37,0.51
91548000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91549000,1.49,1.26,0.79,1.1,0.63,0.37,0.51
91550000,1.49,1.26,0.79,1.1,0.63,0.37,0.51
91551000,1.57,1.32,0.84,1.15,0.65,0.38,0.53
91552000,1.73,1.44,0.95,1.27,0.69,0.41,0.56
91553000,1.73,1.44,0.95,1.27,0.69,0.41,0.56
91554000,1.73,1.44,0.95,1.27,0.69,0.41,0.56
