iTOW,ecefX,ecefY,ecefZ,pAcc
91494000,-241820536,538576091,240576500,296
91495000,-241820537,538576094,240576500,295
91496000,-241820534,538576094,240576499,294
91497000,-241820532,538576094,240576498,294
91498000,-241820529,538576095,240576497,294
91499000,-241820527,538576094,240576496,293
91500000,-241820525,538576094,240576496,293
91501000,-241820523,538576094,240576496,292
91502000,-241820518,538576091,240576495,291
91503000,-241820517,538576093,240576495,290
91504000,-241820518,538576099,240576493,290
91505000,-241820508,538576109,240576495,289
91506000,-241820512,538576121,240576508,291
91507000,-241820530,538576143,240576509,290
91508000,-241820549,538576159,240576489,290
91509000,-241820556,538576182,240576464,288
91510000,-241820564,538576193,240576393,287
91511000,-241820554,538576215,240576351,285
91512000,-241820520,538576227,240576327,284
91513000,-241820463,538576256,240576297,284
91514000,-241820388,538576282,240576262,283
91515000,-241820333,538576329,240576243,284
91516000,-241820273,538576373,240576230,285
91517000,-241820208,538576408,240576220,287
91518000,-241820154,538576450,240576215,288
91519000,-241820099,538576498,240576195,290
91520000,-241820033,538576527,240576155,293
91521000,-241819986,538576561,240576120,295
91522000,-241819943,538576593,240576084,297
91523000,-241819907,538576613,240576050,298
91524000,-241819883,538576635,240576011,300
91525000,-241819860,538576651,240575977,301
91526000,-241819825,538576656,240575945,303
91527000,-241819793,538576667,240575909,305
91528000,-241819769,538576667,240575870,307
91529000,-241819760,538576683,240575848,310
91530000,-241819753,538576694,240575836,313
91531000,-241819754,538576701,240575833,315
91532000,-241819760,538576714,240575834,317
91533000,-241819743,538576715,240575824,319
91534000,-241819706,538576720,240575803,323
91535000,-241819669,538576739,240575776,325
91536000,-241819631,538576766,240575728,328
91537000,-241819603,538576791,240575680,331
91538000,-241819586,538576817,240575649,333
91539000,-241819561,538576830,240575611,336
91540000,-241819540,538576882,240575576,338
91541000,-241819508,538576915,240575537,340
91542000,-241819475,538576928,240575486,343
91543000,-241819440,538576946,240575431,346
91544000,-241819403,538576957,240575373,351
91545000,-241819376,538577001,240575331,355
91546000,-241819353,538577052,240575296,358
91547000,-241819326,538577095,240575257,364
91548000,-241819292,538577131,240575220,370
91549000,-241819262,538577196,240575185,375
91550000,-241819226,538577250,240575139,381
91551000,-241819168,538577292,240575100,387
91552000,-241819130,538577348,240575067,394
91553000,-241819087,538577398,240574994,403
91554000,-241819056,538577448,240574910,409
91555000,-241819071,538577498,240574828,413
91556000,-241819125,538577550,240574749,418
91557000,-241819195,538577585,240574657,421
91558000,-241819286,538577631,240574568,423
91559000,-241819365,538577646,240574480,427
91560000,-241819439,538577660,240574410,430
91561000,-241819524,538577691,240574349,432
91562000,-241819599,538577706,240574275,436
91563000,-241819675,538577706,240574200,437
91564000,-241819761,538577732,240574123,440
91565000,-241819838,538577714,240574050,443
91566000,-241819912,538577694,240573978,443
91567000,-241820002,538577683,240573912,444
91568000,-241820113,538577684,240573890,444
91569000,-241820227,538577668,240573898,444
91570000,-241820321,538577616,240573929,445
91571000,-241820398,538577553,240573987,446
91572000,-241820462,538577502,240574060,449
91573000,-241820511,538577431,240574127,451
