iTOW,lon,lat,height,hMSL,hAcc,vAcc
91494000,114.1800689,22.3056377,17049,18662,1258,2680
91495000,114.1800688,22.3056377,17076,18689,1256,2669
91496000,114.1800686,22.3056376,17065,18678,1254,2662
91497000,114.1800684,22.3056376,17056,18669,1255,2660
91498000,114.1800681,22.3056375,17048,18661,1255,2656
91499000,114.1800679,22.3056375,17029,18642,1254,2652
91500000,114.1800678,22.3056375,17020,18633,1252,2646
91501000,114.1800676,22.3056376,17008,18622,1249,2640
91502000,114.1800673,22.3056376,16967,18580,1247,2632
91503000,114.1800671,22.3056375,16973,18586,1244,2624
91504000,114.1800669,22.3056372,17024,18637,1241,2617
91505000,114.1800656,22.3056372,17081,18695,1237,2616
91506000,114.1800656,22.3056379,17241,18854,1241,2629
91507000,114.1800663,22.305637,17497,19110,1241,2623
91508000,114.1800673,22.3056346,17635,19248,1236,2618
91509000,114.180067,22.3056317,17760,19373,1229,2608
91510000,114.1800673,22.3056253,17614,19227,1223,2597
91511000,114.1800655,22.3056212,17597,19211,1218,2577
91512000,114.180062,22.3056193,17482,19095,1214,2569
91513000,114.1800558,22.3056167,17394,19007,1213,2563
91514000,114.1800482,22.305614,17199,18812,1210,2559
91515000,114.1800414,22.3056117,17316,18929,1209,2565
91516000,114.1800344,22.3056101,17411,19024,1210,2583
91517000,114.1800272,22.305609,17416,19029,1211,2597
91518000,114.1800208,22.3056081,17546,19159,1213,2613
91519000,114.180014,22.3056057,17672,19285,1217,2635
91520000,114.180007,22.3056024,17510,19123,1224,2660
91521000,114.1800014,22.3055991,17493,19106,1226,2681
91522000,114.1799964,22.3055956,17467,19080,1229,2702
91523000,114.1799924,22.3055927,17368,18981,1232,2718
91524000,114.1799894,22.305589,17311,18924,1236,2734
91525000,114.1799867,22.305586,17232,18845,1238,2744
91526000,114.1799835,22.3055837,17021,18634,1240,2761
91527000,114.1799802,22.3055808,16854,18467,1243,2788
91528000,114.179978,22.3055779,16617,18231,1246,2810
91529000,114.1799766,22.3055757,16632,18246,1252,2840
91530000,114.1799756,22.3055744,16649,18263,1258,2862
91531000,114.1799754,22.3055739,16707,18320,1264,2882
91532000,114.1799754,22.3055736,16839,18452,1269,2900
91533000,114.1799739,22.3055729,16743,18357,1274,2928
91534000,114.1799704,22.3055715,16565,18178,1279,2961
91535000,114.1799663,22.3055692,16482,18095,1284,2989
91536000,114.1799619,22.3055648,16389,18002,1291,3012
91537000,114.1799584,22.3055605,16310,17923,1301,3045
91538000,114.1799559,22.3055573,16354,17967,1310,3064
91539000,114.1799532,22.3055541,16214,17827,1317,3090
91540000,114.1799493,22.3055498,16440,18053,1329,3111
91541000,114.1799451,22.305546,16458,18071,1341,3129
91542000,114.1799417,22.3055418,16243,17856,1355,3153
91543000,114.1799379,22.3055371,16059,17672,1375,3176
91544000,114.1799342,22.3055324,15786,17399,1399,3220
91545000,114.17993,22.305528,15897,17510,1417,3252
91546000,114.179926,22.3055238,16108,17721,1431,3285
91547000,114.1799218,22.3055195,16219,17832,1447,3337
91548000,114.1799174,22.3055158,16255,17869,1466,3401
91549000,114.1799122,22.3055113,16555,18169,1482,3446
91550000,114.1799068,22.3055062,16697,18310,1499,3504
91551000,114.1799,22.3055025,16688,18302,1521,3560
91552000,114.1798944,22.3054985,16891,18504,1544,3627
91553000,114.1798886,22.3054914,16870,18483,1573,3710
91554000,114.1798839,22.3054833,16858,18472,1592,3763
91555000,114.1798833,22.3054746,17029,18642,1599,3813
91556000,114.179886,22.3054657,17370,18984,1609,3861
91557000,114.1798907,22.305456,17580,19194,1616,3892
91558000,114.1798969,22.3054458,17977,19590,1623,3910
91559000,114.1799034,22.3054368,18073,19686,1632,3941
91560000,114.1799094,22.3054295,18205,19819,1644,3971
91561000,114.1799156,22.3054222,18557,20170,1655,3993
91562000,114.1799217,22.3054146,18689,20303,1669,4023
91563000,114.1799284,22.3054072,18693,20306,1682,4033
91564000,114.179935,22.3053987,18941,20554,1698,4055
91565000,114.1799425,22.3053921,18801,20414,1734,4072
91566000,114.1799499,22.3053857,18643,20256,1743,4073
91567000,114.1799583,22.3053793,18642,20255,1743,4084
91568000,114.1799681,22.3053758,18984,20597,1734,4088
91569000,114.1799788,22.3053754,19318,20931,1720,4092
91570000,114.1799892,22.3053783,19351,20964,1709,4106
91571000,114.1799985,22.305384,19331,20945,1703,4122
91572000,114.1800063,22.3053908,19419,21032,1703,4155
91573000,114.1800134,22.3053979,19255,20868,1703,4176
91574000,114.1800197,22.3054042,19137,20750,1706,4199
91575000,114.1800255,22.3054119,19138,20751,1707,4227
91576000,114.1800318,22.3054195,19193,20806,1705,4246
91577000,114.1800386,22.3054272,19307,20920,1701,4255
91578000,114.1800463,22.3054353,19756,21369,1696,4260
91579000,114.1800543,22.3054443,20178,21790,1691,4286
91580000,114.180063,22.3054517,20420,22033,1683,4263
91581000,114.1800717,22.3054577,20869,22481,1672,4229
91582000,114.1800795,22.3054644,21094,22706,1662,4223
91583000,114.180089,22.305471,21965,23578,1649,4188
91584000,114.1800978,22.3054777,22037,23650,1634,4154
91585000,114.1801081,22.3054845,22507,24120,1621,4122
91586000,114.1801188,22.3054918,22788,24401,1607,4086
91587000,114.1801294,22.3054987,23219,24832,1597,4049
91588000,114.1801393,22.3055057,23428,25041,1590,4039
91589000,114.1801496,22.3055127,23559,25171,1583,4027
91590000,114.1801608,22.3055189,23814,25426,1573,4005
91591000,114.1801705,22.3055245,23856,25468,1562,3981
91592000,114.1801799,22.3055303,23517,25129,1552,3961
91593000,114.1801898,22.3055367,23301,24913,1544,3950
91594000,114.1801992,22.3055426,23189,24802,1538,3944
91595000,114.1802075,22.3055488,23021,24633,1533,3938
91596000,114.1802168,22.3055552,22963,24575,1529,3936
91597000,114.1802266,22.305561,22833,24445,1526,3938
91598000,114.1802358,22.3055673,22374,23986,1522,3936
91599000,114.1802453,22.3055731,22419,24032,1517,3931
91600000,114.1802547,22.3055791,22440,24052,1512,3934
91601000,114.1802639,22.3055849,22238,23851,1506,3936
91602000,114.1802736,22.3055907,22221,23833,1503,3948
91603000,114.1802835,22.3055964,22214,23826,1499,3956
91604000,114.1802924,22.3056027,22142,23754,1498,3975
91605000,114.1803008,22.3056095,22274,23886,1496,3983
91606000,114.1803098,22.3056154,22175,23787,1493,3985
91607000,114.1803197,22.3056206,22226,23838,1492,3992
91608000,114.180329,22.3056265,22218,23831,1496,4010
91609000,114.1803386,22.3056328,22491,24103,1497,4009
91610000,114.1803472,22.305639,22595,24207,1495,3981
91611000,114.1803543,22.3056462,22652,24264,1496,3968
91612000,114.1803594,22.3056545,22736,24348,1498,3949
91613000,114.1803629,22.305663,22657,24269,1503,3914
91614000,114.1803661,22.3056723,22870,24482,1512,3883
91615000,114.1803685,22.3056826,22507,24119,1539,3888
91616000,114.1803699,22.3056922,21862,23475,1566,3860
91617000,114.1803711,22.3057021,21399,23011,1572,3805
91618000,114.1803696,22.3057118,21257,22869,1576,3759
91619000,114.1803685,22.3057219,21294,22906,1581,3715
91620000,114.1803667,22.3057317,21144,22757,1587,3679
91621000,114.1803638,22.3057407,21376,22988,1593,3639
91622000,114.1803688,22.3057494,21585,23197,2245,3700
91623000,114.1803709,22.3057583,21758,23370,3425,3842
91624000,114.1803659,22.3057689,21406,23018,3704,3848
91625000,114.1803617,22.3057812,21325,22937,3556,3805
91626000,114.1803552,22.3057927,21149,22761,3406,3783
91627000,114.1803469,22.3058009,20693,22305,3247,3739
91628000,114.1803381,22.3058081,20453,22065,3108,3706
91629000,114.180329,22.3058145,20441,22053,3003,3689
91630000,114.1803205,22.3058205,20378,21991,2969,3733
91631000,114.1803126,22.3058264,19795,21407,2919,3745
91632000,114.1802986,22.3058307,20730,22343,2845,3756
91633000,114.1802864,22.3058328,20582,22194,2766,3751
91634000,114.1802727,22.3058312,21038,22650,2683,3709
91635000,114.1802576,22.3058289,21023,22636,2618,3691
91636000,114.1802455,22.3058259,20931,22543,2545,3660
91637000,114.180236,22.3058221,20636,22248,2467,3626
91638000,114.1802266,22.3058172,20518,22131,2393,3588
91639000,114.1802178,22.3058114,20575,22188,2325,3552
91640000,114.1802079,22.3058058,20838,22451,2262,3511
91641000,114.1801985,22.3057995,20654,22267,2207,3482
91642000,114.1801898,22.3057933,20664,22277,2176,3494
91643000,114.18018,22.3057872,20624,22236,2142,3469
91644000,114.1801711,22.3057808,20616,22229,2100,3455
91645000,114.1801622,22.3057743,20500,22112,2059,3438
91646000,114.1801543,22.3057675,20519,22132,2021,3425
91647000,114.1801451,22.3057607,20610,22223,1986,3413
91648000,114.1801368,22.3057535,20775,22388,1955,3411
91649000,114.180127,22.3057465,20764,22377,1917,3412
91650000,114.1801171,22.3057401,20766,22379,1883,3413
91651000,114.1801067,22.305734,20753,22366,1847,3395
91652000,114.1800975,22.3057276,20831,22444,1818,3377
91653000,114.1800889,22.3057213,20909,22522,1790,3367
91654000,114.1800824,22.3057155,20893,22506,1766,3358
91655000,114.1800822,22.305709,20837,22450,1748,3347
91656000,114.1800844,22.3056999,20989,22602,1712,3313
91657000,114.1800856,22.3056892,21227,22841,1672,3271
91658000,114.1800828,22.3056769,21232,22845,1636,3237
91659000,114.1800793,22.3056647,21279,22893,1603,3206
91660000,114.1800756,22.3056527,21501,23114,1568,3171
91661000,114.180072,22.3056408,21663,23276,1536,3134
91662000,114.1800673,22.3056292,21833,23446,1502,3087
91663000,114.1800615,22.3056201,21862,23475,1475,3039
91664000,114.1800547,22.3056171,21675,23288,1459,3005
91665000,114.1800503,22.3056198,21161,22774,1446,2995
91666000,114.1800494,22.3056219,21037,22650,1436,2998
91667000,114.1800493,22.3056225,20994,22607,1431,3018
91668000,114.1800502,22.3056226,20916,22529,1435,3069
91669000,114.1800495,22.3056229,20810,22423,1433,3077
91670000,114.1800489,22.305623,20718,22331,1430,3106
91671000,114.1800483,22.3056231,20709,22322,1426,3114
91672000,114.1800473,22.3056231,20879,22492,1419,3112
91673000,114.1800472,22.3056229,21145,22758,1408,3100
91674000,114.1800471,22.3056229,21253,22866,1398,3092
91675000,114.1800471,22.3056228,21437,23050,1388,3079
91676000,114.1800469,22.3056226,21652,23265,1378,3062
91677000,114.1800467,22.3056226,21856,23469,1367,3047
91678000,114.1800467,22.3056224,22123,23736,1359,3034
