iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
91494000,3,1,0,1,1,0,1,0,0,1,0,38873,214376
91495000,3,1,0,1,1,0,1,0,0,1,0,38873,215376
91496000,3,1,0,1,1,0,1,0,0,1,0,38873,216376
91497000,3,1,0,1,1,0,1,0,0,1,0,38873,217376
91498000,3,1,0,1,1,0,1,0,0,1,0,38873,218376
91499000,3,1,0,1,1,0,1,0,0,1,0,38873,219376
91500000,3,1,0,1,1,0,1,0,0,1,0,38873,220376
91501000,3,1,0,1,1,0,1,0,0,1,0,38873,221376
91502000,3,1,0,1,1,0,1,0,0,1,0,38873,222376
91503000,3,1,0,1,1,0,1,0,0,1,0,38873,223376
91504000,3,1,0,1,1,0,1,0,0,1,0,38873,224376
91505000,3,1,0,1,1,0,1,0,0,1,0,38873,225376
91506000,3,1,0,1,1,0,1,0,0,1,0,38873,226376
91507000,3,1,0,1,1,0,1,0,0,1,0,38873,227376
91508000,3,1,0,1,1,0,1,0,0,1,0,38873,228376
91509000,3,1,0,1,1,0,1,0,0,1,0,38873,229376
91510000,3,1,0,1,1,0,1,0,0,1,0,38873,230376
91511000,3,1,0,1,1,0,1,0,0,1,0,38873,231376
91512000,3,1,0,1,1,0,1,0,0,1,0,38873,232376
91513000,3,1,0,1,1,0,1,0,0,1,0,38873,233376
91514000,3,1,0,1,1,0,1,0,0,1,0,38873,234376
91515000,3,1,0,1,1,0,1,0,0,1,0,38873,235376
91516000,3,1,0,1,1,0,1,0,0,1,0,38873,236376
91517000,3,1,0,1,1,0,1,0,0,1,0,38873,237376
91518000,3,1,0,1,1,0,1,0,0,1,0,38873,238376
91519000,3,1,0,1,1,0,1,0,0,1,0,38873,239376
91520000,3,1,0,1,1,0,1,0,0,1,0,38873,240376
91521000,3,1,0,1,1,0,1,0,0,1,0,38873,241376
91522000,3,1,0,1,1,0,1,0,0,1,0,38873,242376
91523000,3,1,0,1,1,0,1,0,0,1,0,38873,243376
91524000,3,1,0,1,1,0,1,0,0,1,0,38873,244376
91525000,3,1,0,1,1,0,1,0,0,1,0,38873,245376
91526000,3,1,0,1,1,0,1,0,0,1,0,38873,246376
91527000,3,1,0,1,1,0,1,0,0,1,0,38873,247376
91528000,3,1,0,1,1,0,1,0,0,1,0,38873,248376
91529000,3,1,0,1,1,0,1,0,0,1,0,38873,249376
91530000,3,1,0,1,1,0,1,0,0,1,0,38873,250376
91531000,3,1,0,1,1,0,1,0,0,1,0,38873,251376
91532000,3,1,0,1,1,0,1,0,0,1,0,38873,252376
91533000,3,1,0,1,1,0,1,0,0,1,0,38873,253376
91534000,3,1,0,1,1,0,1,0,0,1,0,38873,254376
91535000,3,1,0,1,1,0,1,0,0,1,0,38873,255376
91536000,3,1,0,1,1,0,1,0,0,1,0,38873,256376
91537000,3,1,0,1,1,0,1,0,0,1,0,38873,257376
91538000,3,1,0,1,1,0,1,0,0,1,0,38873,258376
91539000,3,1,0,1,1,0,1,0,0,1,0,38873,259376
91540000,3,1,0,1,1,0,1,0,0,1,0,38873,260376
91541000,3,1,0,1,1,0,1,0,0,1,0,38873,261376
91542000,3,1,0,1,1,0,1,0,0,1,0,38873,262376
91543000,3,1,0,1,1,0,1,0,0,1,0,38873,263376
91544000,3,1,0,1,1,0,1,0,0,1,0,38873,264376
91545000,3,1,0,1,1,0,1,0,0,1,0,38873,265376
91546000,3,1,0,1,1,0,1,0,0,1,0,38873,266376
91547000,3,1,0,1,1,0,1,0,0,1,0,38873,267376
91548000,3,1,0,1,1,0,1,0,0,1,0,38873,268376
91549000,3,1,0,1,1,0,1,0,0,1,0,38873,269376
91550000,3,1,0,1,1,0,1,0,0,1,0,38873,270376
91551000,3,1,0,1,1,0,1,0,0,1,0,38873,271376
91552000,3,1,0,1,1,0,1,0,0,1,0,38873,272376
91553000,3,1,0,1,1,0,1,0,0,1,0,38873,273376
91554000,3,1,0,1,1,0,1,0,0,1,0,38873,274376
91555000,3,1,0,1,1,0,1,0,0,1,0,38873,275376
91556000,3,1,0,1,1,0,1,0,0,1,0,38873,276376
91557000,3,1,0,1,1,0,1,0,0,1,0,38873,277376
91558000,3,1,0,1,1,0,1,0,0,1,0,38873,278376
91559000,3,1,0,1,1,0,1,0,0,1,0,38873,279376
91560000,3,1,0,1,1,0,1,0,0,1,0,38873,280376
91561000,3,1,0,1,1,0,1,0,0,1,0,38873,281376
91562000,3,1,0,1,1,0,1,0,0,1,0,38873,282376
91563000,3,1,0,1,1,0,1,0,0,1,0,38873,283376
91564000,3,1,0,1,1,0,1,0,0,1,0,38873,284376
91565000,3,1,0,1,1,0,1,0,0,1,0,38873,285376
91566000,3,1,0,1,1,0,1,0,0,1,0,38873,286376
91567000,3,1,0,1,1,0,1,0,0,1,0,38873,287376
91568000,3,1,0,1,1,0,1,0,0,1,0,38873,288376
91569000,3,1,0,1,1,0,1,0,0,1,0,38873,289376
91570000,3,1,0,1,1,0,1,0,0,1,0,38873,290376
91571000,3,1,0,1,1,0,1,0,0,1,0,38873,291376
91572000,3,1,0,1,1,0,1,0,0,1,0,38873,292376
91573000,3,1,0,1,1,0,1,0,0,1,0,38873,293376
91574000,3,1,0,1,1,0,1,0,0,1,0,38873,294376
91575000,3,1,0,1,1,0,1,0,0,1,0,38873,295376
91576000,3,1,0,1,1,0,1,0,0,1,0,38873,296376
91577000,3,1,0,1,1,0,1,0,0,1,0,38873,297376
91578000,3,1,0,1,1,0,1,0,0,1,0,38873,298376
91579000,3,1,0,1,1,0,1,0,0,1,0,38873,299376
91580000,3,1,0,1,1,0,1,0,0,1,0,38873,300376
91581000,3,1,0,1,1,0,1,0,0,1,0,38873,301376
91582000,3,1,0,1,1,0,1,0,0,1,0,38873,302376
91583000,3,1,0,1,1,0,1,0,0,1,0,38873,303376
91584000,3,1,0,1,1,0,1,0,0,1,0,38873,304376
91585000,3,1,0,1,1,0,1,0,0,1,0,38873,305376
91586000,3,1,0,1,1,0,1,0,0,1,0,38873,306376
91587000,3,1,0,1,1,0,1,0,0,1,0,38873,307376
91588000,3,1,0,1,1,0,1,0,0,1,0,38873,308376
91589000,3,1,0,1,1,0,1,0,0,1,0,38873,309376
91590000,3,1,0,1,1,0,1,0,0,1,0,38873,310376
91591000,3,1,0,1,1,0,1,0,0,1,0,38873,311376
91592000,3,1,0,1,1,0,1,0,0,1,0,38873,312376
91593000,3,1,0,1,1,0,1,0,0,1,0,38873,313376
91594000,3,1,0,1,1,0,1,0,0,1,0,38873,314376
91595000,3,1,1,1,1,0,1,0,0,1,0,38873,315376
91596000,3,1,1,1,1,0,1,0,0,1,0,38873,316376
91597000,3,1,1,1,1,0,1,0,0,1,0,38873,317376
91598000,3,1,1,1,1,0,1,0,0,1,0,38873,318376
91599000,3,1,1,1,1,0,1,0,0,1,0,38873,319376
91600000,3,1,1,1,1,0,1,0,0,1,0,38873,320376
91601000,3,1,1,1,1,0,1,0,0,1,0,38873,321376
91602000,3,1,1,1,1,0,1,0,0,1,0,38873,322376
91603000,3,1,1,1,1,0,1,0,0,1,0,38873,323376
91604000,3,1,1,1,1,0,1,0,0,1,0,38873,324376
91605000,3,1,1,1,1,0,1,0,0,1,0,38873,325376
91606000,3,1,1,1,1,0,1,0,0,1,0,38873,326376
91607000,3,1,1,1,1,0,1,0,0,1,0,38873,327376
91608000,3,1,1,1,1,0,1,0,0,1,0,38873,328376
91609000,3,1,1,1,1,0,1,0,0,1,0,38873,329376
91610000,3,1,1,1,1,0,1,0,0,1,0,38873,330376
91611000,3,1,1,1,1,0,1,0,0,1,0,38873,331376
91612000,3,1,1,1,1,0,1,0,0,1,0,38873,332376
91613000,3,1,1,1,1,0,1,0,0,1,0,38873,333376
91614000,3,1,1,1,1,0,1,0,0,1,0,38873,334376
91615000,3,1,1,1,1,0,1,0,0,1,0,38873,335376
