iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
91494000,91494,190704,1366,18,1,1,1,12
91495000,91495,190529,1366,18,1,1,1,12
91496000,91496,190354,1366,18,1,1,1,12
91497000,91497,190179,1366,18,1,1,1,12
91498000,91498,190005,1366,18,1,1,1,11
91499000,91499,189830,1366,18,1,1,1,11
91500000,91500,189656,1366,18,1,1,1,11
91501000,91501,189483,1366,18,1,1,1,11
91502000,91502,189309,1366,18,1,1,1,11
91503000,91503,189135,1366,18,1,1,1,11
91504000,91504,188960,1366,18,1,1,1,11
91505000,91505,188785,1366,18,1,1,1,11
91506000,91506,188610,1366,18,1,1,1,11
91507000,91507,188434,1366,18,1,1,1,10
91508000,91508,188259,1366,18,1,1,1,10
91509000,91509,188084,1366,18,1,1,1,10
91510000,91510,187910,1366,18,1,1,1,10
91511000,91511,187735,1366,18,1,1,1,10
91512000,91512,187561,1366,18,1,1,1,10
91513000,91513,187386,1366,18,1,1,1,10
91514000,91514,187211,1366,18,1,1,1,10
91515000,91515,187039,1366,18,1,1,1,10
91516000,91516,186867,1366,18,1,1,1,10
91517000,91517,186696,1366,18,1,1,1,10
91518000,91518,186524,1366,18,1,1,1,10
91519000,91519,186353,1366,18,1,1,1,10
91520000,91520,186182,1366,18,1,1,1,10
91521000,91521,186011,1366,18,1,1,1,10
91522000,91522,185838,1366,18,1,1,1,10
91523000,91523,185662,1366,18,1,1,1,10
91524000,91524,185485,1366,18,1,1,1,10
91525000,91525,185307,1366,18,1,1,1,10
91526000,91526,185130,1366,18,1,1,1,10
91527000,91527,184953,1366,18,1,1,1,10
91528000,91528,184775,1366,18,1,1,1,10
91529000,91529,184595,1366,18,1,1,1,10
91530000,91530,184415,1366,18,1,1,1,10
91531000,91531,184234,1366,18,1,1,1,10
91532000,91532,184052,1366,18,1,1,1,10
91533000,91533,183870,1366,18,1,1,1,10
91534000,91534,183690,1366,18,1,1,1,10
91535000,91535,183509,1366,18,1,1,1,10
91536000,91536,183328,1366,18,1,1,1,10
91537000,91537,183146,1366,18,1,1,1,10
91538000,91538,182963,1366,18,1,1,1,10
91539000,91539,182779,1366,18,1,1,1,10
91540000,91540,182594,1366,18,1,1,1,10
91541000,91541,182411,1366,18,1,1,1,10
91542000,91542,182229,1366,18,1,1,1,10
91543000,91543,182047,1366,18,1,1,1,10
91544000,91544,181865,1366,18,1,1,1,10
91545000,91545,181682,1366,18,1,1,1,11
91546000,91546,181500,1366,18,1,1,1,11
91547000,91547,181318,1366,18,1,1,1,11
91548000,91548,181136,1366,18,1,1,1,11
91549000,91549,180953,1366,18,1,1,1,11
91550000,91550,180771,1366,18,1,1,1,11
91551000,91551,180588,1366,18,1,1,1,11
91552000,91552,180405,1366,18,1,1,1,11
91553000,91553,180223,1366,18,1,1,1,12
91554000,91554,180040,1366,18,1,1,1,12
91555000,91555,179858,1366,18,1,1,1,12
91556000,91556,179675,1366,18,1,1,1,12
91557000,91557,179492,1366,18,1,1,1,12
91558000,91558,179308,1366,18,1,1,1,12
91559000,91559,179125,1366,18,1,1,1,12
91560000,91560,178942,1366,18,1,1,1,12
91561000,91561,178758,1366,18,1,1,1,12
91562000,91562,178574,1366,18,1,1,1,12
91563000,91563,178392,1366,18,1,1,1,12
91564000,91564,178210,1366,18,1,1,1,12
91565000,91565,178028,1366,18,1,1,1,12
91566000,91566,177844,1366,18,1,1,1,12
91567000,91567,177660,1366,18,1,1,1,12
91568000,91568,177475,1366,18,1,1,1,12
91569000,91569,177290,1366,18,1,1,1,12
91570000,91570,177106,1366,18,1,1,1,12
91571000,91571,176922,1366,18,1,1,1,12
91572000,91572,176738,1366,18,1,1,1,12
91573000,91573,176554,1366,18,1,1,1,12
91574000,91574,176370,1366,18,1,1,1,12
91575000,91575,176185,1366,18,1,1,1,12
91576000,91576,176000,1366,18,1,1,1,12
91577000,91577,175816,1366,18,1,1,1,12
91578000,91578,175633,1366,18,1,1,1,12
91579000,91579,175452,1366,18,1,1,1,13
91580000,91580,175272,1366,18,1,1,1,12
91581000,91581,175092,1366,18,1,1,1,12
91582000,91582,174912,1366,18,1,1,1,12
91583000,91583,174730,1366,18,1,1,1,12
91584000,91584,174552,1366,18,1,1,1,12
91585000,91585,174373,1366,18,1,1,1,12
91586000,91586,174192,1366,18,1,1,1,12
91587000,91587,174011,1366,18,1,1,1,12
91588000,91588,173830,1366,18,1,1,1,12
91589000,91589,173650,1366,18,1,1,1,12
91590000,91590,173470,1366,18,1,1,1,12
91591000,91591,173290,1366,18,1,1,1,12
91592000,91592,173110,1366,18,1,1,1,12
91593000,91593,172930,1366,18,1,1,1,11
91594000,91594,172750,1366,18,1,1,1,11
91595000,91595,172569,1366,18,1,1,1,11
91596000,91596,172388,1366,18,1,1,1,11
91597000,91597,172207,1366,18,1,1,1,11
91598000,91598,172026,1366,18,1,1,1,11
91599000,91599,171845,1366,18,1,1,1,11
91600000,91600,171664,1366,18,1,1,1,11
91601000,91601,171483,1366,18,1,1,1,11
91602000,91602,171301,1366,18,1,1,1,11
91603000,91603,171119,1366,18,1,1,1,11
91604000,91604,170938,1366,18,1,1,1,12
91605000,91605,170756,1366,18,1,1,1,12
91606000,91606,170574,1366,18,1,1,1,12
91607000,91607,170392,1366,18,1,1,1,12
