iTOW,TOD,fTOD,Nt,N4,todValid,dateValid,tAcc
91494000,15876,190686,666,8,1,1,8
91495000,15877,190510,666,8,1,1,8
91496000,15878,190336,666,8,1,1,8
91497000,15879,190161,666,8,1,1,8
91498000,15880,189986,666,8,1,1,8
91499000,15881,189812,666,8,1,1,8
91500000,15882,189638,666,8,1,1,8
91501000,15883,189464,666,8,1,1,8
91502000,15884,189291,666,8,1,1,8
91503000,15885,189117,666,8,1,1,8
91504000,15886,188942,666,8,1,1,8
91505000,15887,188767,666,8,1,1,8
91506000,15888,188592,666,8,1,1,8
91507000,15889,188416,666,8,1,1,8
91508000,15890,188242,666,8,1,1,8
91509000,15891,188066,666,8,1,1,8
91510000,15892,187892,666,8,1,1,8
91511000,15893,187718,666,8,1,1,8
91512000,15894,187544,666,8,1,1,8
91513000,15895,187369,666,8,1,1,8
91514000,15896,187194,666,8,1,1,8
91515000,15897,187022,666,8,1,1,8
91516000,15898,186850,666,8,1,1,8
91517000,15899,186679,666,8,1,1,8
91518000,15900,186508,666,8,1,1,8
91519000,15901,186336,666,8,1,1,8
91520000,15902,186166,666,8,1,1,8
91521000,15903,185995,666,8,1,1,8
91522000,15904,185821,666,8,1,1,8
91523000,15905,185646,666,8,1,1,8
91524000,15906,185469,666,8,1,1,8
91525000,15907,185291,666,8,1,1,8
91526000,15908,185114,666,8,1,1,8
91527000,15909,184937,666,8,1,1,8
91528000,15910,184759,666,8,1,1,8
91529000,15911,184579,666,8,1,1,8
91530000,15912,184399,666,8,1,1,9
91531000,15913,184218,666,8,1,1,9
91532000,15914,184036,666,8,1,1,9
91533000,15915,183854,666,8,1,1,9
91534000,15916,183674,666,8,1,1,9
91535000,15917,183493,666,8,1,1,9
91536000,15918,183312,666,8,1,1,9
91537000,15919,183130,666,8,1,1,9
91538000,15920,182947,666,8,1,1,9
91539000,15921,182763,666,8,1,1,9
91540000,15922,182578,666,8,1,1,9
91541000,15923,182395,666,8,1,1,9
91542000,15924,182212,666,8,1,1,9
91543000,15925,182030,666,8,1,1,9
91544000,15926,181849,666,8,1,1,9
91545000,15927,181666,666,8,1,1,9
91546000,15928,181483,666,8,1,1,9
91547000,15929,181302,666,8,1,1,10
91548000,15930,181119,666,8,1,1,10
91549000,15931,180936,666,8,1,1,10
91550000,15932,180754,666,8,1,1,10
91551000,15933,180572,666,8,1,1,10
91552000,15934,180389,666,8,1,1,10
91553000,15935,180206,666,8,1,1,10
91554000,15936,180024,666,8,1,1,11
91555000,15937,179842,666,8,1,1,11
91556000,15938,179659,666,8,1,1,11
91557000,15939,179476,666,8,1,1,11
91558000,15940,179292,666,8,1,1,11
91559000,15941,179109,666,8,1,1,11
91560000,15942,178926,666,8,1,1,11
91561000,15943,178742,666,8,1,1,11
91562000,15944,178558,666,8,1,1,11
91563000,15945,178376,666,8,1,1,11
91564000,15946,178194,666,8,1,1,11
91565000,15947,178011,666,8,1,1,11
91566000,15948,177828,666,8,1,1,11
91567000,15949,177644,666,8,1,1,11
91568000,15950,177459,666,8,1,1,11
91569000,15951,177274,666,8,1,1,11
91570000,15952,177090,666,8,1,1,11
91571000,15953,176906,666,8,1,1,11
91572000,15954,176722,666,8,1,1,11
91573000,15955,176538,666,8,1,1,11
91574000,15956,176354,666,8,1,1,11
91575000,15957,176169,666,8,1,1,12
91576000,15958,175984,666,8,1,1,12
91577000,15959,175800,666,8,1,1,12
91578000,15960,175617,666,8,1,1,12
91579000,15961,175436,666,8,1,1,12
91580000,15962,175256,666,8,1,1,12
91581000,15963,175076,666,8,1,1,11
91582000,15964,174896,666,8,1,1,11
91583000,15965,174714,666,8,1,1,11
91584000,15966,174536,666,8,1,1,11
91585000,15967,174356,666,8,1,1,11
91586000,15968,174176,666,8,1,1,11
91587000,15969,173995,666,8,1,1,11
91588000,15970,173814,666,8,1,1,11
91589000,15971,173634,666,8,1,1,11
91590000,15972,173454,666,8,1,1,11
91591000,15973,173274,666,8,1,1,11
91592000,15974,173094,666,8,1,1,11
91593000,15975,172914,666,8,1,1,11
91594000,15976,172734,666,8,1,1,11
91595000,15977,172553,666,8,1,1,11
91596000,15978,172372,666,8,1,1,11
91597000,15979,172191,666,8,1,1,11
91598000,15980,172010,666,8,1,1,11
91599000,15981,171829,666,8,1,1,11
91600000,15982,171648,666,8,1,1,11
91601000,15983,171467,666,8,1,1,11
91602000,15984,171285,666,8,1,1,11
91603000,15985,171103,666,8,1,1,11
91604000,15986,170922,666,8,1,1,11
91605000,15987,170740,666,8,1,1,11
91606000,15988,170558,666,8,1,1,11
91607000,15989,170376,666,8,1,1,11
91608000,15990,170194,666,8,1,1,11
91609000,15991,170011,666,8,1,1,11
91610000,15992,169829,666,8,1,1,11
91611000,15993,169647,666,8,1,1,11
91612000,15994,169464,666,8,1,1,11
91613000,15995,169281,666,8,1,1,11
91614000,15996,169097,666,8,1,1,11
91615000,15997,168913,666,8,1,1,11
91616000,15998,168729,666,8,1,1,10
91617000,15999,168544,666,8,1,1,10
91618000,16000,168360,666,8,1,1,10
91619000,16001,168177,666,8,1,1,10
91620000,16002,167994,666,8,1,1,10
91621000,16003,167811,666,8,1,1,10
91622000,16004,167628,666,8,1,1,10
91623000,16005,167445,666,8,1,1,10
91624000,16006,167265,666,8,1,1,10
91625000,16007,167085,666,8,1,1,10
91626000,16008,166906,666,8,1,1,10
91627000,16009,166729,666,8,1,1,10
91628000,16010,166553,666,8,1,1,10
91629000,16011,166376,666,8,1,1,10
91630000,16012,166198,666,8,1,1,10
91631000,16013,166023,666,8,1,1,10
91632000,16014,165840,666,8,1,1,10
91633000,16015,165658,666,8,1,1,10
91634000,16016,165478,666,8,1,1,10
91635000,16017,165304,666,8,1,1,10
91636000,16018,165133,666,8,1,1,10
91637000,16019,164962,666,8,1,1,10
91638000,16020,164790,666,8,1,1,10
91639000,16021,164620,666,8,1,1,10
91640000,16022,164448,666,8,1,1,10
91641000,16023,164273,666,8,1,1,10
91642000,16024,164096,666,8,1,1,10
91643000,16025,163925,666,8,1,1,10
91644000,16026,163754,666,8,1,1,10
91645000,16027,163584,666,8,1,1,10
91646000,16028,163413,666,8,1,1,10
91647000,16029,163241,666,8,1,1,10
91648000,16030,163069,666,8,1,1,10
91649000,16031,162898,666,8,1,1,9
91650000,16032,162725,666,8,1,1,9
91651000,16033,162552,666,8,1,1,9
91652000,16034,162379,666,8,1,1,9
91653000,16035,162206,666,8,1,1,9
91654000,16036,162034,666,8,1,1,9
91655000,16037,161861,666,8,1,1,9
91656000,16038,161686,666,8,1,1,9
91657000,16039,161510,666,8,1,1,9
91658000,16040,161335,666,8,1,1,9
91659000,16041,161159,666,8,1,1,9
91660000,16042,160984,666,8,1,1,9
91661000,16043,160811,666,8,1,1,9
91662000,16044,160638,666,8,1,1,9
91663000,16045,160464,666,8,1,1,8
91664000,16046,160291,666,8,1,1,8
91665000,16047,160117,666,8,1,1,8
91666000,16048,159943,666,8,1,1,8
91667000,16049,159768,666,8,1,1,8
91668000,16050,159594,666,8,1,1,8
91669000,16051,159419,666,8,1,1,9
91670000,16052,159244,666,8,1,1,9
91671000,16053,159069,666,8,1,1,9
91672000,16054,158895,666,8,1,1,9
91673000,16055,158720,666,8,1,1,9
91674000,16056,158546,666,8,1,1,9
91675000,16057,158371,666,8,1,1,8
91676000,16058,158196,666,8,1,1,8
91677000,16059,158022,666,8,1,1,8
91678000,16060,157847,666,8,1,1,8
91679000,16061,157672,666,8,1,1,8
91680000,16062,157497,666,8,1,1,8
91681000,16063,157322,666,8,1,1,8
91682000,16064,157147,666,8,1,1,8
91683000,16065,156972,666,8,1,1,8
91684000,16066,156796,666,8,1,1,8
91685000,16067,156620,666,8,1,1,8
91686000,16068,156444,666,8,1,1,8
91687000,16069,156268,666,8,1,1,8
91688000,16070,156091,666,8,1,1,8
91689000,16071,155914,666,8,1,1,8
91690000,16072,155737,666,8,1,1,8
91691000,16073,155559,666,8,1,1,8
91692000,16074,155382,666,8,1,1,8
91693000,16075,155204,666,8,1,1,8
91694000,16076,155025,666,8,1,1,8
91695000,16077,154847,666,8,1,1,8
91696000,16078,154670,666,8,1,1,8
91697000,16079,154493,666,8,1,1,8
91698000,16080,154315,666,8,1,1,8
91699000,16081,154137,666,8,1,1,8
91700000,16082,153959,666,8,1,1,8
91701000,16083,153781,666,8,1,1,8
91702000,16084,153602,666,8,1,1,8
91703000,16085,153423,666,8,1,1,8
91704000,16086,153244,666,8,1,1,8
91705000,16087,153064,666,8,1,1,8
91706000,16088,152885,666,8,1,1,8
91707000,16089,152706,666,8,1,1,8
91708000,16090,152526,666,8,1,1,8
91709000,16091,152346,666,8,1,1,8
91710000,16092,152167,666,8,1,1,8
91711000,16093,151987,666,8,1,1,8
91712000,16094,151808,666,8,1,1,8
91713000,16095,151627,666,8,1,1,8
91714000,16096,151447,666,8,1,1,8
91715000,16097,151267,666,8,1,1,8
91716000,16098,151086,666,8,1,1,7
91717000,16099,150905,666,8,1,1,7
