iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
91494000,0,0,5,18,5,0,31358124,2441,7,0,1,1
91495000,0,0,5,18,5,0,31358123,2441,7,0,1,1
91496000,0,0,5,18,5,0,31358122,2441,7,0,1,1
91497000,0,0,5,18,5,0,31358121,2441,7,0,1,1
91498000,0,0,5,18,5,0,31358120,2441,7,0,1,1
91499000,0,0,5,18,5,0,31358119,2441,7,0,1,1
91500000,0,0,5,18,5,0,31358118,2441,7,0,1,1
91501000,0,0,5,18,5,0,31358117,2441,7,0,1,1
91502000,0,0,5,18,5,0,31358116,2441,7,0,1,1
91503000,0,0,5,18,5,0,31358115,2441,7,0,1,1
91504000,0,0,5,18,5,0,31358114,2441,7,0,1,1
91505000,0,0,5,18,5,0,31358113,2441,7,0,1,1
91506000,0,0,5,18,5,0,31358112,2441,7,0,1,1
91507000,0,0,5,18,5,0,31358111,2441,7,0,1,1
91508000,0,0,5,18,5,0,31358110,2441,7,0,1,1
91509000,0,0,5,18,5,0,31358109,2441,7,0,1,1
91510000,0,0,5,18,5,0,31358108,2441,7,0,1,1
91511000,0,0,5,18,5,0,31358107,2441,7,0,1,1
91512000,0,0,5,18,5,0,31358106,2441,7,0,1,1
91513000,0,0,5,18,5,0,31358105,2441,7,0,1,1
91514000,0,0,5,18,5,0,31358104,2441,7,0,1,1
91515000,0,0,5,18,5,0,31358103,2441,7,0,1,1
91516000,0,0,5,18,5,0,31358102,2441,7,0,1,1
91517000,0,0,5,18,5,0,31358101,2441,7,0,1,1
91518000,0,0,5,18,5,0,31358100,2441,7,0,1,1
91519000,0,0,5,18,5,0,31358099,2441,7,0,1,1
91520000,0,0,5,18,5,0,31358098,2441,7,0,1,1
91521000,0,0,5,18,5,0,31358097,2441,7,0,1,1
91522000,0,0,5,18,5,0,31358096,2441,7,0,1,1
91523000,0,0,5,18,5,0,31358095,2441,7,0,1,1
91524000,0,0,5,18,5,0,31358094,2441,7,0,1,1
91525000,0,0,5,18,5,0,31358093,2441,7,0,1,1
91526000,0,0,5,18,5,0,31358092,2441,7,0,1,1
91527000,0,0,5,18,5,0,31358091,2441,7,0,1,1
91528000,0,0,5,18,5,0,31358090,2441,7,0,1,1
91529000,0,0,5,18,5,0,31358089,2441,7,0,1,1
91530000,0,0,5,18,5,0,31358088,2441,7,0,1,1
91531000,0,0,5,18,5,0,31358087,2441,7,0,1,1
91532000,0,0,5,18,5,0,31358086,2441,7,0,1,1
91533000,0,0,5,18,5,0,31358085,2441,7,0,1,1
91534000,0,0,5,18,5,0,31358084,2441,7,0,1,1
91535000,0,0,5,18,5,0,31358083,2441,7,0,1,1
91536000,0,0,5,18,5,0,31358082,2441,7,0,1,1
91537000,0,0,5,18,5,0,31358081,2441,7,0,1,1
91538000,0,0,5,18,5,0,31358080,2441,7,0,1,1
91539000,0,0,5,18,5,0,31358079,2441,7,0,1,1
91540000,0,0,5,18,5,0,31358078,2441,7,0,1,1
91541000,0,0,5,18,5,0,31358077,2441,7,0,1,1
91542000,0,0,5,18,5,0,31358076,2441,7,0,1,1
91543000,0,0,5,18,5,0,31358075,2441,7,0,1,1
91544000,0,0,5,18,5,0,31358074,2441,7,0,1,1
91545000,0,0,5,18,5,0,31358073,2441,7,0,1,1
91546000,0,0,5,18,5,0,31358072,2441,7,0,1,1
91547000,0,0,5,18,5,0,31358071,2441,7,0,1,1
91548000,0,0,5,18,5,0,31358070,2441,7,0,1,1
91549000,0,0,5,18,5,0,31358069,2441,7,0,1,1
91550000,0,0,5,18,5,0,31358068,2441,7,0,1,1
91551000,0,0,5,18,5,0,31358067,2441,7,0,1,1
91552000,0,0,5,18,5,0,31358066,2441,7,0,1,1
91553000,0,0,5,18,5,0,31358065,2441,7,0,1,1
91554000,0,0,5,18,5,0,31358064,2441,7,0,1,1
91555000,0,0,5,18,5,0,31358063,2441,7,0,1,1
91556000,0,0,5,18,5,0,31358062,2441,7,0,1,1
91557000,0,0,5,18,5,0,31358061,2441,7,0,1,1
91558000,0,0,5,18,5,0,31358060,2441,7,0,1,1
91559000,0,0,5,18,5,0,31358059,2441,7,0,1,1
91560000,0,0,5,18,5,0,31358058,2441,7,0,1,1
91561000,0,0,5,18,5,0,31358057,2441,7,0,1,1
91562000,0,0,5,18,5,0,31358056,2441,7,0,1,1
91563000,0,0,5,18,5,0,31358055,2441,7,0,1,1
91564000,0,0,5,18,5,0,31358054,2441,7,0,1,1
91565000,0,0,5,18,5,0,31358053,2441,7,0,1,1
91566000,0,0,5,18,5,0,31358052,2441,7,0,1,1
91567000,0,0,5,18,5,0,31358051,2441,7,0,1,1
91568000,0,0,5,18,5,0,31358050,2441,7,0,1,1
91569000,0,0,5,18,5,0,31358049,2441,7,0,1,1
91570000,0,0,5,18,5,0,31358048,2441,7,0,1,1
91571000,0,0,5,18,5,0,31358047,2441,7,0,1,1
91572000,0,0,5,18,5,0,31358046,2441,7,0,1,1
91573000,0,0,5,18,5,0,31358045,2441,7,0,1,1
91574000,0,0,5,18,5,0,31358044,2441,7,0,1,1
91575000,0,0,5,18,5,0,31358043,2441,7,0,1,1
91576000,0,0,5,18,5,0,31358042,2441,7,0,1,1
91577000,0,0,5,18,5,0,31358041,2441,7,0,1,1
91578000,0,0,5,18,5,0,31358040,2441,7,0,1,1
91579000,0,0,5,18,5,0,31358039,2441,7,0,1,1
91580000,0,0,5,18,5,0,31358038,2441,7,0,1,1
91581000,0,0,5,18,5,0,31358037,2441,7,0,1,1
91582000,0,0,5,18,5,0,31358036,2441,7,0,1,1
91583000,0,0,5,18,5,0,31358035,2441,7,0,1,1
91584000,0,0,5,18,5,0,31358034,2441,7,0,1,1
91585000,0,0,5,18,5,0,31358033,2441,7,0,1,1
91586000,0,0,5,18,5,0,31358032,2441,7,0,1,1
91587000,0,0,5,18,5,0,31358031,2441,7,0,1,1
91588000,0,0,5,18,5,0,31358030,2441,7,0,1,1
91589000,0,0,5,18,5,0,31358029,2441,7,0,1,1
91590000,0,0,5,18,5,0,31358028,2441,7,0,1,1
91591000,0,0,5,18,5,0,31358027,2441,7,0,1,1
91592000,0,0,5,18,5,0,31358026,2441,7,0,1,1
91593000,0,0,5,18,5,0,31358025,2441,7,0,1,1
91594000,0,0,5,18,5,0,31358024,2441,7,0,1,1
91595000,0,0,5,18,5,0,31358023,2441,7,0,1,1
91596000,0,0,5,18,5,0,31358022,2441,7,0,1,1
91597000,0,0,5,18,5,0,31358021,2441,7,0,1,1
91598000,0,0,5,18,5,0,31358020,2441,7,0,1,1
91599000,0,0,5,18,5,0,31358019,2441,7,0,1,1
91600000,0,0,5,18,5,0,31358018,2441,7,0,1,1
91601000,0,0,5,18,5,0,31358017,2441,7,0,1,1
91602000,0,0,5,18,5,0,31358016,2441,7,0,1,1
91603000,0,0,5,18,5,0,31358015,2441,7,0,1,1
91604000,0,0,5,18,5,0,31358014,2441,7,0,1,1
91605000,0,0,5,18,5,0,31358013,2441,7,0,1,1
91606000,0,0,5,18,5,0,31358012,2441,7,0,1,1
91607000,0,0,5,18,5,0,31358011,2441,7,0,1,1
91608000,0,0,5,18,5,0,31358010,2441,7,0,1,1
91609000,0,0,5,18,5,0,31358009,2441,7,0,1,1
91610000,0,0,5,18,5,0,31358008,2441,7,0,1,1
91611000,0,0,5,18,5,0,31358007,2441,7,0,1,1
91612000,0,0,5,18,5,0,31358006,2441,7,0,1,1
91613000,0,0,5,18,5,0,31358005,2441,7,0,1,1
91614000,0,0,5,18,5,0,31358004,2441,7,0,1,1
91615000,0,0,5,18,5,0,31358003,2441,7,0,1,1
91616000,0,0,5,18,5,0,31358002,2441,7,0,1,1
91617000,0,0,5,18,5,0,31358001,2441,7,0,1,1
91618000,0,0,5,18,5,0,31358000,2441,7,0,1,1
91619000,0,0,5,18,5,0,31357999,2441,7,0,1,1
91620000,0,0,5,18,5,0,31357998,2441,7,0,1,1
91621000,0,0,5,18,5,0,31357997,2441,7,0,1,1
91622000,0,0,5,18,5,0,31357996,2441,7,0,1,1
91623000,0,0,5,18,5,0,31357995,2441,7,0,1,1
91624000,0,0,5,18,5,0,31357994,2441,7,0,1,1
91625000,0,0,5,18,5,0,31357993,2441,7,0,1,1
91626000,0,0,5,18,5,0,31357992,2441,7,0,1,1
91627000,0,0,5,18,5,0,31357991,2441,7,0,1,1
91628000,0,0,5,18,5,0,31357990,2441,7,0,1,1
91629000,0,0,5,18,5,0,31357989,2441,7,0,1,1
91630000,0,0,5,18,5,0,31357988,2441,7,0,1,1
91631000,0,0,5,18,5,0,31357987,2441,7,0,1,1
91632000,0,0,5,18,5,0,31357986,2441,7,0,1,1
91633000,0,0,5,18,5,0,31357985,2441,7,0,1,1
91634000,0,0,5,18,5,0,31357984,2441,7,0,1,1
91635000,0,0,5,18,5,0,31357983,2441,7,0,1,1
91636000,0,0,5,18,5,0,31357982,2441,7,0,1,1
91637000,0,0,5,18,5,0,31357981,2441,7,0,1,1
91638000,0,0,5,18,5,0,31357980,2441,7,0,1,1
91639000,0,0,5,18,5,0,31357979,2441,7,0,1,1
91640000,0,0,5,18,5,0,31357978,2441,7,0,1,1
91641000,0,0,5,18,5,0,31357977,2441,7,0,1,1
91642000,0,0,5,18,5,0,31357976,2441,7,0,1,1
91643000,0,0,5,18,5,0,31357975,2441,7,0,1,1
91644000,0,0,5,18,5,0,31357974,2441,7,0,1,1
91645000,0,0,5,18,5,0,31357973,2441,7,0,1,1
91646000,0,0,5,18,5,0,31357972,2441,7,0,1,1
91647000,0,0,5,18,5,0,31357971,2441,7,0,1,1
91648000,0,0,5,18,5,0,31357970,2441,7,0,1,1
91649000,0,0,5,18,5,0,31357969,2441,7,0,1,1
91650000,0,0,5,18,5,0,31357968,2441,7,0,1,1
91651000,0,0,5,18,5,0,31357967,2441,7,0,1,1
91652000,0,0,5,18,5,0,31357966,2441,7,0,1,1
91653000,0,0,5,18,5,0,31357965,2441,7,0,1,1
91654000,0,0,5,18,5,0,31357964,2441,7,0,1,1
91655000,0,0,5,18,5,0,31357963,2441,7,0,1,1
91656000,0,0,5,18,5,0,31357962,2441,7,0,1,1
91657000,0,0,5,18,5,0,31357961,2441,7,0,1,1
91658000,0,0,5,18,5,0,31357960,2441,7,0,1,1
91659000,0,0,5,18,5,0,31357959,2441,7,0,1,1
91660000,0,0,5,18,5,0,31357958,2441,7,0,1,1
91661000,0,0,5,18,5,0,31357957,2441,7,0,1,1
91662000,0,0,5,18,5,0,31357956,2441,7,0,1,1
91663000,0,0,5,18,5,0,31357955,2441,7,0,1,1
91664000,0,0,5,18,5,0,31357954,2441,7,0,1,1
91665000,0,0,5,18,5,0,31357953,2441,7,0,1,1
91666000,0,0,5,18,5,0,31357952,2441,7,0,1,1
91667000,0,0,5,18,5,0,31357951,2441,7,0,1,1
91668000,0,0,5,18,5,0,31357950,2441,7,0,1,1
91669000,0,0,5,18,5,0,31357949,2441,7,0,1,1
91670000,0,0,5,18,5,0,31357948,2441,7,0,1,1
91671000,0,0,5,18,5,0,31357947,2441,7,0,1,1
91672000,0,0,5,18,5,0,31357946,2441,7,0,1,1
91673000,0,0,5,18,5,0,31357945,2441,7,0,1,1
91674000,0,0,5,18,5,0,31357944,2441,7,0,1,1
91675000,0,0,5,18,5,0,31357943,2441,7,0,1,1
91676000,0,0,5,18,5,0,31357942,2441,7,0,1,1
91677000,0,0,5,18,5,0,31357941,2441,7,0,1,1
91678000,0,0,5,18,5,0,31357940,2441,7,0,1,1
91679000,0,0,5,18,5,0,31357939,2441,7,0,1,1
91680000,0,0,5,18,5,0,31357938,2441,7,0,1,1
91681000,0,0,5,18,5,0,31357937,2441,7,0,1,1
91682000,0,0,5,18,5,0,31357936,2441,7,0,1,1
91683000,0,0,5,18,5,0,31357935,2441,7,0,1,1
91684000,0,0,5,18,5,0,31357934,2441,7,0,1,1
91685000,0,0,5,18,5,0,31357933,2441,7,0,1,1
91686000,0,0,5,18,5,0,31357932,2441,7,0,1,1
91687000,0,0,5,18,5,0,31357931,2441,7,0,1,1
91688000,0,0,5,18,5,0,31357930,2441,7,0,1,1
91689000,0,0,5,18,5,0,31357929,2441,7,0,1,1
91690000,0,0,5,18,5,0,31357928,2441,7,0,1,1
91691000,0,0,5,18,5,0,31357927,2441,7,0,1,1
91692000,0,0,5,18,5,0,31357926,2441,7,0,1,1
91693000,0,0,5,18,5,0,31357925,2441,7,0,1,1
91694000,0,0,5,18,5,0,31357924,2441,7,0,1,1
91695000,0,0,5,18,5,0,31357923,2441,7,0,1,1
91696000,0,0,5,18,5,0,31357922,2441,7,0,1,1
91697000,0,0,5,18,5,0,31357921,2441,7,0,1,1
91698000,0,0,5,18,5,0,31357920,2441,7,0,1,1
91699000,0,0,5,18,5,0,31357919,2441,7,0,1,1
91700000,0,0,5,18,5,0,31357918,2441,7,0,1,1
91701000,0,0,5,18,5,0,31357917,2441,7,0,1,1
91702000,0,0,5,18,5,0,31357916,2441,7,0,1,1
91703000,0,0,5,18,5,0,31357915,2441,7,0,1,1
91704000,0,0,5,18,5,0,31357914,2441,7,0,1,1
91705000,0,0,5,18,5,0,31357913,2441,7,0,1,1
91706000,0,0,5,18,5,0,31357912,2441,7,0,1,1
91707000,0,0,5,18,5,0,31357911,2441,7,0,1,1
91708000,0,0,5,18,5,0,31357910,2441,7,0,1,1
91709000,0,0,5,18,5,0,31357909,2441,7,0,1,1
91710000,0,0,5,18,5,0,31357908,2441,7,0,1,1
91711000,0,0,5,18,5,0,31357907,2441,7,0,1,1
91712000,0,0,5,18,5,0,31357906,2441,7,0,1,1
91713000,0,0,5,18,5,0,31357905,2441,7,0,1,1
91714000,0,0,5,18,5,0,31357904,2441,7,0,1,1
91715000,0,0,5,18,5,0,31357903,2441,7,0,1,1
91716000,0,0,5,18,5,0,31357902,2441,7,0,1,1
91717000,0,0,5,18,5,0,31357901,2441,7,0,1,1
