iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
91494000,91494,190695,2390,18,1,1,1,19
91495000,91495,190520,2390,18,1,1,1,19
91496000,91496,190345,2390,18,1,1,1,19
91497000,91497,190170,2390,18,1,1,1,19
91498000,91498,189996,2390,18,1,1,1,19
91499000,91499,189821,2390,18,1,1,1,19
91500000,91500,189647,2390,18,1,1,1,19
91501000,91501,189474,2390,18,1,1,1,19
91502000,91502,189300,2390,18,1,1,1,19
91503000,91503,189126,2390,18,1,1,1,19
91504000,91504,188951,2390,18,1,1,1,19
91505000,91505,188776,2390,18,1,1,1,19
91506000,91506,188601,2390,18,1,1,1,19
91507000,91507,188426,2390,18,1,1,1,19
91508000,91508,188251,2390,18,1,1,1,19
91509000,91509,188076,2390,18,1,1,1,19
91510000,91510,187902,2390,18,1,1,1,19
91511000,91511,187727,2390,18,1,1,1,19
91512000,91512,187553,2390,18,1,1,1,19
91513000,91513,187378,2390,18,1,1,1,19
91514000,91514,187204,2390,18,1,1,1,19
91515000,91515,187032,2390,18,1,1,1,19
91516000,91516,186860,2390,18,1,1,1,19
91517000,91517,186688,2390,18,1,1,1,19
91518000,91518,186517,2390,18,1,1,1,19
91519000,91519,186346,2390,18,1,1,1,19
91520000,91520,186175,2390,18,1,1,1,19
91521000,91521,186004,2390,18,1,1,1,19
91522000,91522,185831,2390,18,1,1,1,19
91523000,91523,185655,2390,18,1,1,1,19
91524000,91524,185478,2390,18,1,1,1,19
91525000,91525,185301,2390,18,1,1,1,19
91526000,91526,185124,2390,18,1,1,1,20
91527000,91527,184946,2390,18,1,1,1,20
91528000,91528,184768,2390,18,1,1,1,20
91529000,91529,184589,2390,18,1,1,1,20
91530000,91530,184409,2390,18,1,1,1,20
91531000,91531,184228,2390,18,1,1,1,20
91532000,91532,184046,2390,18,1,1,1,20
91533000,91533,183864,2390,18,1,1,1,20
91534000,91534,183683,2390,18,1,1,1,20
91535000,91535,183503,2390,18,1,1,1,20
91536000,91536,183322,2390,18,1,1,1,20
91537000,91537,183140,2390,18,1,1,1,20
91538000,91538,182957,2390,18,1,1,1,20
91539000,91539,182772,2390,18,1,1,1,20
91540000,91540,182588,2390,18,1,1,1,20
91541000,91541,182404,2390,18,1,1,1,20
91542000,91542,182222,2390,18,1,1,1,20
91543000,91543,182040,2390,18,1,1,1,20
91544000,91544,181859,2390,18,1,1,1,21
91545000,91545,181676,2390,18,1,1,1,21
91546000,91546,181494,2390,18,1,1,1,21
91547000,91547,181312,2390,18,1,1,1,21
91548000,91548,181129,2390,18,1,1,1,21
91549000,91549,180947,2390,18,1,1,1,21
91550000,91550,180765,2390,18,1,1,1,21
91551000,91551,180582,2390,18,1,1,1,21
91552000,91552,180399,2390,18,1,1,1,22
91553000,91553,180217,2390,18,1,1,1,22
91554000,91554,180034,2390,18,1,1,1,22
91555000,91555,179852,2390,18,1,1,1,22
91556000,91556,179669,2390,18,1,1,1,22
91557000,91557,179486,2390,18,1,1,1,22
91558000,91558,179303,2390,18,1,1,1,22
91559000,91559,179120,2390,18,1,1,1,22
91560000,91560,178936,2390,18,1,1,1,22
91561000,91561,178752,2390,18,1,1,1,22
91562000,91562,178569,2390,18,1,1,1,23
91563000,91563,178386,2390,18,1,1,1,23
91564000,91564,178204,2390,18,1,1,1,23
91565000,91565,178022,2390,18,1,1,1,23
91566000,91566,177839,2390,18,1,1,1,23
91567000,91567,177655,2390,18,1,1,1,23
91568000,91568,177470,2390,18,1,1,1,23
91569000,91569,177284,2390,18,1,1,1,23
91570000,91570,177100,2390,18,1,1,1,23
91571000,91571,176917,2390,18,1,1,1,23
91572000,91572,176733,2390,18,1,1,1,23
91573000,91573,176549,2390,18,1,1,1,23
91574000,91574,176365,2390,18,1,1,1,23
91575000,91575,176179,2390,18,1,1,1,23
91576000,91576,175994,2390,18,1,1,1,23
91577000,91577,175810,2390,18,1,1,1,23
91578000,91578,175628,2390,18,1,1,1,23
91579000,91579,175447,2390,18,1,1,1,23
91580000,91580,175267,2390,18,1,1,1,23
91581000,91581,175086,2390,18,1,1,1,23
91582000,91582,174906,2390,18,1,1,1,23
91583000,91583,174725,2390,18,1,1,1,23
91584000,91584,174546,2390,18,1,1,1,23
91585000,91585,174367,2390,18,1,1,1,23
91586000,91586,174187,2390,18,1,1,1,22
91587000,91587,174006,2390,18,1,1,1,22
91588000,91588,173825,2390,18,1,1,1,22
91589000,91589,173645,2390,18,1,1,1,22
91590000,91590,173465,2390,18,1,1,1,22
91591000,91591,173285,2390,18,1,1,1,22
91592000,91592,173105,2390,18,1,1,1,22
91593000,91593,172925,2390,18,1,1,1,22
91594000,91594,172745,2390,18,1,1,1,22
91595000,91595,172564,2390,18,1,1,1,22
91596000,91596,172383,2390,18,1,1,1,22
91597000,91597,172202,2390,18,1,1,1,22
91598000,91598,172021,2390,18,1,1,1,22
91599000,91599,171840,2390,18,1,1,1,22
91600000,91600,171659,2390,18,1,1,1,22
91601000,91601,171478,2390,18,1,1,1,22
91602000,91602,171296,2390,18,1,1,1,22
91603000,91603,171114,2390,18,1,1,1,22
91604000,91604,170933,2390,18,1,1,1,22
91605000,91605,170751,2390,18,1,1,1,22
91606000,91606,170569,2390,18,1,1,1,22
91607000,91607,170387,2390,18,1,1,1,22
91608000,91608,170205,2390,18,1,1,1,22
91609000,91609,170022,2390,18,1,1,1,22
91610000,91610,169840,2390,18,1,1,1,22
91611000,91611,169658,2390,18,1,1,1,22
91612000,91612,169475,2390,18,1,1,1,22
91613000,91613,169292,2390,18,1,1,1,22
91614000,91614,169108,2390,18,1,1,1,22
91615000,91615,168924,2390,18,1,1,1,22
91616000,91616,168740,2390,18,1,1,1,22
91617000,91617,168555,2390,18,1,1,1,22
91618000,91618,168371,2390,18,1,1,1,22
91619000,91619,168188,2390,18,1,1,1,22
91620000,91620,168005,2390,18,1,1,1,21
91621000,91621,167822,2390,18,1,1,1,21
91622000,91622,167639,2390,18,1,1,1,21
91623000,91623,167456,2390,18,1,1,1,22
91624000,91624,167276,2390,18,1,1,1,22
91625000,91625,167096,2390,18,1,1,1,22
91626000,91626,166917,2390,18,1,1,1,22
91627000,91627,166740,2390,18,1,1,1,22
91628000,91628,166564,2390,18,1,1,1,21
91629000,91629,166387,2390,18,1,1,1,21
91630000,91630,166209,2390,18,1,1,1,22
91631000,91631,166034,2390,18,1,1,1,22
91632000,91632,165851,2390,18,1,1,1,22
91633000,91633,165669,2390,18,1,1,1,22
91634000,91634,165489,2390,18,1,1,1,22
91635000,91635,165315,2390,18,1,1,1,22
91636000,91636,165144,2390,18,1,1,1,22
91637000,91637,164973,2390,18,1,1,1,22
91638000,91638,164801,2390,18,1,1,1,21
91639000,91639,164631,2390,18,1,1,1,21
91640000,91640,164459,2390,18,1,1,1,21
91641000,91641,164284,2390,18,1,1,1,21
91642000,91642,164107,2390,18,1,1,1,21
91643000,91643,163936,2390,18,1,1,1,21
91644000,91644,163765,2390,18,1,1,1,21
91645000,91645,163595,2390,18,1,1,1,21
91646000,91646,163424,2390,18,1,1,1,21
91647000,91647,163252,2390,18,1,1,1,21
91648000,91648,163080,2390,18,1,1,1,21
91649000,91649,162909,2390,18,1,1,1,21
91650000,91650,162736,2390,18,1,1,1,21
91651000,91651,162562,2390,18,1,1,1,21
91652000,91652,162390,2390,18,1,1,1,21
91653000,91653,162217,2390,18,1,1,1,21
91654000,91654,162045,2390,18,1,1,1,21
91655000,91655,161872,2390,18,1,1,1,21
91656000,91656,161697,2390,18,1,1,1,21
91657000,91657,161521,2390,18,1,1,1,21
91658000,91658,161346,2390,18,1,1,1,21
91659000,91659,161170,2390,18,1,1,1,20
91660000,91660,160995,2390,18,1,1,1,20
91661000,91661,160822,2390,18,1,1,1,20
91662000,91662,160649,2390,18,1,1,1,20
91663000,91663,160475,2390,18,1,1,1,20
91664000,91664,160302,2390,18,1,1,1,20
91665000,91665,160128,2390,18,1,1,1,20
91666000,91666,159954,2390,18,1,1,1,20
91667000,91667,159779,2390,18,1,1,1,20
91668000,91668,159605,2390,18,1,1,1,20
91669000,91669,159430,2390,18,1,1,1,20
91670000,91670,159255,2390,18,1,1,1,20
91671000,91671,159080,2390,18,1,1,1,20
91672000,91672,158906,2390,18,1,1,1,20
91673000,91673,158731,2390,18,1,1,1,20
91674000,91674,158557,2390,18,1,1,1,20
91675000,91675,158382,2390,18,1,1,1,20
91676000,91676,158207,2390,18,1,1,1,20
91677000,91677,158033,2390,18,1,1,1,20
91678000,91678,157858,2390,18,1,1,1,20
91679000,91679,157683,2390,18,1,1,1,20
91680000,91680,157509,2390,18,1,1,1,20
91681000,91681,157334,2390,18,1,1,1,20
91682000,91682,157159,2390,18,1,1,1,20
91683000,91683,156983,2390,18,1,1,1,20
91684000,91684,156808,2390,18,1,1,1,20
91685000,91685,156632,2390,18,1,1,1,20
91686000,91686,156456,2390,18,1,1,1,20
91687000,91687,156279,2390,18,1,1,1,20
91688000,91688,156102,2390,18,1,1,1,20
91689000,91689,155925,2390,18,1,1,1,20
91690000,91690,155748,2390,18,1,1,1,20
91691000,91691,155571,2390,18,1,1,1,20
91692000,91692,155393,2390,18,1,1,1,20
91693000,91693,155215,2390,18,1,1,1,20
91694000,91694,155037,2390,18,1,1,1,20
91695000,91695,154859,2390,18,1,1,1,20
91696000,91696,154682,2390,18,1,1,1,20
91697000,91697,154504,2390,18,1,1,1,20
91698000,91698,154327,2390,18,1,1,1,20
91699000,91699,154149,2390,18,1,1,1,20
91700000,91700,153971,2390,18,1,1,1,20
91701000,91701,153793,2390,18,1,1,1,20
91702000,91702,153614,2390,18,1,1,1,20
91703000,91703,153435,2390,18,1,1,1,20
91704000,91704,153255,2390,18,1,1,1,20
91705000,91705,153076,2390,18,1,1,1,20
91706000,91706,152896,2390,18,1,1,1,20
91707000,91707,152717,2390,18,1,1,1,20
91708000,91708,152538,2390,18,1,1,1,20
91709000,91709,152358,2390,18,1,1,1,19
91710000,91710,152178,2390,18,1,1,1,19
91711000,91711,151999,2390,18,1,1,1,19
91712000,91712,151819,2390,18,1,1,1,19
91713000,91713,151639,2390,18,1,1,1,19
91714000,91714,151459,2390,18,1,1,1,19
91715000,91715,151279,2390,18,1,1,1,19
91716000,91716,151098,2390,18,1,1,1,19
91717000,91717,150917,2390,18,1,1,1,19
