iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
91494000,1006,190694,2025,10,27,1,24,36,1,1,1,0,15
91495000,1006,190519,2025,10,27,1,24,37,1,1,1,0,15
91496000,1006,190344,2025,10,27,1,24,38,1,1,1,0,15
91497000,1006,190170,2025,10,27,1,24,39,1,1,1,0,15
91498000,1006,189995,2025,10,27,1,24,40,1,1,1,0,15
91499000,1006,189821,2025,10,27,1,24,41,1,1,1,0,15
91500000,1006,189647,2025,10,27,1,24,42,1,1,1,0,15
91501000,1006,189473,2025,10,27,1,24,43,1,1,1,0,15
91502000,1006,189300,2025,10,27,1,24,44,1,1,1,0,15
91503000,1006,189125,2025,10,27,1,24,45,1,1,1,0,15
91504000,1006,188951,2025,10,27,1,24,46,1,1,1,0,15
91505000,1006,188776,2025,10,27,1,24,47,1,1,1,0,15
91506000,1006,188601,2025,10,27,1,24,48,1,1,1,0,15
91507000,1006,188425,2025,10,27,1,24,49,1,1,1,0,15
91508000,1006,188251,2025,10,27,1,24,50,1,1,1,0,15
91509000,1006,188076,2025,10,27,1,24,51,1,1,1,0,15
91510000,1006,187901,2025,10,27,1,24,52,1,1,1,0,15
91511000,1006,187727,2025,10,27,1,24,53,1,1,1,0,15
91512000,1006,187553,2025,10,27,1,24,54,1,1,1,0,15
91513000,1006,187378,2025,10,27,1,24,55,1,1,1,0,15
91514000,1006,187203,2025,10,27,1,24,56,1,1,1,0,15
91515000,1006,187031,2025,10,27,1,24,57,1,1,1,0,15
91516000,1006,186859,2025,10,27,1,24,58,1,1,1,0,15
91517000,1006,186688,2025,10,27,1,24,59,1,1,1,0,15
91518000,1006,186517,2025,10,27,1,25,0,1,1,1,0,15
91519000,1006,186345,2025,10,27,1,25,1,1,1,1,0,15
91520000,1006,186175,2025,10,27,1,25,2,1,1,1,0,15
91521000,1006,186004,2025,10,27,1,25,3,1,1,1,0,15
91522000,1006,185830,2025,10,27,1,25,4,1,1,1,0,15
91523000,1006,185655,2025,10,27,1,25,5,1,1,1,0,15
91524000,1006,185478,2025,10,27,1,25,6,1,1,1,0,15
91525000,1006,185300,2025,10,27,1,25,7,1,1,1,0,15
91526000,1006,185123,2025,10,27,1,25,8,1,1,1,0,15
91527000,1006,184946,2025,10,27,1,25,9,1,1,1,0,15
91528000,1006,184768,2025,10,27,1,25,10,1,1,1,0,15
91529000,1006,184588,2025,10,27,1,25,11,1,1,1,0,15
91530000,1006,184408,2025,10,27,1,25,12,1,1,1,0,15
91531000,1006,184227,2025,10,27,1,25,13,1,1,1,0,15
91532000,1007,184045,2025,10,27,1,25,14,1,1,1,0,15
91533000,1007,183863,2025,10,27,1,25,15,1,1,1,0,15
91534000,1007,183683,2025,10,27,1,25,16,1,1,1,0,15
91535000,1007,183503,2025,10,27,1,25,17,1,1,1,0,15
91536000,1007,183321,2025,10,27,1,25,18,1,1,1,0,15
91537000,1007,183139,2025,10,27,1,25,19,1,1,1,0,15
91538000,1007,182956,2025,10,27,1,25,20,1,1,1,0,15
91539000,1007,182772,2025,10,27,1,25,21,1,1,1,0,15
91540000,1007,182587,2025,10,27,1,25,22,1,1,1,0,15
91541000,1007,182404,2025,10,27,1,25,23,1,1,1,0,15
91542000,1007,182222,2025,10,27,1,25,24,1,1,1,0,15
91543000,1007,182040,2025,10,27,1,25,25,1,1,1,0,15
91544000,1007,181858,2025,10,27,1,25,26,1,1,1,0,15
91545000,1007,181676,2025,10,27,1,25,27,1,1,1,0,15
91546000,1007,181493,2025,10,27,1,25,28,1,1,1,0,15
91547000,1008,181311,2025,10,27,1,25,29,1,1,1,0,15
91548000,1008,181129,2025,10,27,1,25,30,1,1,1,0,15
91549000,1008,180946,2025,10,27,1,25,31,1,1,1,0,15
91550000,1008,180764,2025,10,27,1,25,32,1,1,1,0,15
91551000,1008,180582,2025,10,27,1,25,33,1,1,1,0,15
