iTOW,ecefVX,ecefVY,ecefVZ,sAcc
91494000,1,0,0,10
91495000,0,0,-1,12
91496000,0,0,0,9
91497000,1,0,0,12
91498000,1,0,0,9
91499000,0,0,-1,9
91500000,-2,2,1,20
91501000,1,1,1,16
91502000,2,-1,0,18
91503000,0,-3,-2,18
91504000,0,2,-4,7
91505000,14,13,5,13
91506000,-12,10,16,22
91507000,-17,25,-7,20
91508000,-16,17,-21,12
91509000,3,18,-29,7
91510000,-21,22,-83,8
91511000,25,22,-24,10
91512000,32,21,-17,9
91513000,70,26,-37,12
91514000,70,39,-29,9
91515000,45,61,-8,13
91516000,63,42,-11,9
91517000,62,35,-8,11
91518000,54,39,-5,12
91519000,61,43,-27,13
91520000,59,44,-34,12
91521000,48,22,-35,13
91522000,48,19,-39,14
91523000,42,7,-33,18
91524000,26,17,-44,12
91525000,26,8,-29,14
91526000,40,2,-30,16
91527000,32,10,-37,15
91528000,26,-7,-36,21
91529000,18,1,-23,18
91530000,10,2,-12,17
91531000,6,-8,-4,29
91532000,7,-4,-3,26
91533000,23,-1,-12,22
91534000,41,11,-22,13
91535000,42,13,-30,15
91536000,45,17,-60,14
91537000,30,11,-47,16
91538000,25,6,-32,15
91539000,33,-1,-46,20
91540000,37,35,-44,12
91541000,35,24,-38,12
91542000,32,10,-56,15
91543000,43,10,-58,16
91544000,37,2,-61,20
91545000,37,17,-53,14
91546000,30,24,-44,12
91547000,32,32,-47,12
91548000,35,17,-46,16
91549000,35,43,-52,13
91550000,36,42,-54,13
91551000,53,31,-46,19
91552000,35,24,-50,15
91553000,43,51,-88,15
91554000,18,43,-87,11
91555000,-20,31,-85,9
91556000,-54,28,-86,14
91557000,-69,24,-96,13
91558000,-88,31,-93,15
91559000,-75,11,-82,15
91560000,-68,8,-63,16
91561000,-71,4,-71,15
91562000,-74,20,-72,18
91563000,-81,11,-71,15
91564000,-83,33,-78,20
91565000,-78,-20,-57,16
91566000,-63,-30,-64,18
91567000,-87,-25,-64,16
91568000,-95,-29,-12,14
91569000,-101,-42,13,12
91570000,-91,-52,42,13
91571000,-74,-65,65,11
91572000,-56,-55,73,13
91573000,-42,-79,60,14
91574000,-35,-70,57,12
91575000,-32,-81,66,13
91576000,-39,-66,73,10
91577000,-60,-52,87,12
91578000,-81,-27,100,18
91579000,-75,-37,112,16
91580000,-80,-38,83,14
91581000,-72,-37,72,13
91582000,-57,-56,76,12
91583000,-80,-36,85,14
91584000,-74,-50,77,11
91585000,-85,-54,86,11
91586000,-66,-82,80,11
91587000,-66,-77,72,10
91588000,-78,-60,78,10
