iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
91494000,1,-1,0,1,1,335.98532,10,180.0
91495000,0,0,1,1,0,335.98532,12,180.0
91496000,0,-1,0,1,1,335.98532,9,180.0
91497000,0,-1,0,1,1,335.98532,12,180.0
91498000,0,-1,0,1,1,335.98532,9,180.0
91499000,0,0,0,1,0,335.98532,9,180.0
91500000,0,1,-3,3,1,335.98532,20,180.0
91501000,1,-1,-1,2,1,335.98532,16,180.0
91502000,0,-1,2,2,1,335.98532,18,180.0
91503000,-1,1,3,3,2,335.98532,18,180.0
91504000,-4,-1,0,5,5,335.98532,7,117.18966
91505000,3,-18,-8,20,19,278.16358,13,24.67365
91506000,10,7,-19,22,12,316.53984,22,67.4206
91507000,-18,5,-24,31,19,164.0031,20,25.78088
91508000,-28,8,-12,31,29,164.6932,12,14.71402
91509000,-32,-11,-3,34,34,198.24058,7,12.19727
91510000,-88,10,6,89,88,173.43114,8,6.6883
91511000,-26,-32,0,41,41,230.7745,10,10.06334
91512000,-19,-37,1,42,42,243.67006,9,10.97203
91513000,-32,-74,19,83,81,246.77786,12,5.9682
91514000,-29,-80,4,85,85,249.84914,9,5.78275
91515000,-22,-66,-31,76,70,251.90838,13,7.51764
91516000,-15,-75,-7,77,76,258.4031,9,7.39985
91517000,-10,-71,-3,72,72,262.1644,11,6.71911
91518000,-10,-66,-10,67,66,261.5001,12,7.42233
91519000,-31,-73,-2,79,79,247.32124,13,7.19639
91520000,-38,-71,-2,81,81,242.07254,12,6.98447
91521000,-33,-53,12,64,62,238.42622,13,8.6023
91522000,-36,-52,17,65,63,235.51332,14,8.9473
91523000,-26,-41,23,54,49,237.42166,18,11.34667
91524000,-42,-31,13,54,52,216.1723,12,12.13978
91525000,-26,-27,14,40,38,226.45748,14,15.78088
91526000,-22,-37,25,50,43,239.43428,16,13.13387
91527000,-33,-33,18,50,47,225.04682,15,13.78347
91528000,-27,-20,29,45,34,216.8335,21,19.23785
91529000,-18,-16,14,29,25,221.60404,18,27.9848
91530000,-10,-10,7,16,14,224.21154,17,48.28192
91531000,0,-2,11,11,2,224.21154,29,180.0
91532000,0,-5,7,9,5,224.21154,26,97.61798
91533000,-7,-21,15,26,22,251.80452,22,27.6619
91534000,-18,-42,14,48,46,246.33312,13,14.80419
91535000,-26,-44,17,54,51,239.75078,15,13.1736
91536000,-55,-48,26,77,73,221.23382,14,11.18445
91537000,-43,-32,20,57,53,216.47914,16,16.55382
91538000,-28,-25,16,41,37,222.28472,15,21.11134
91539000,-37,-30,30,56,48,218.521,20,17.7457
91540000,-47,-48,1,68,68,225.72296,12,13.80703
91541000,-38,-42,8,57,56,227.60788,12,15.43711
91542000,-50,-33,25,65,60,213.1431,15,16.94898
91543000,-51,-44,30,73,67,220.99634,16,17.85726
91544000,-51,-34,36,71,62,213.90872,20,19.85864
91545000,-49,-41,19,67,64,220.1059,14,16.78164
91546000,-45,-37,8,58,58,219.40938,12,17.51093
91547000,-50,-42,3,65,65,220.22356,12,17.82279
91548000,-43,-39,16,61,58,221.93986,16,18.16965
91549000,-58,-50,-3,77,77,220.63206,13,12.92201
91550000,-59,-50,-1,78,78,220.42934,13,15.41221
91551000,-45,-61,12,77,76,233.79542,19,13.85278
91552000,-49,-41,12,65,64,220.13166,15,19.34292
91553000,-92,-60,6,110,110,213.03454,15,13.60608
91554000,-93,-34,3,99,99,200.19448,11,10.50922
91555000,-92,6,-1,93,93,176.34102,9,12.08716
91556000,-98,38,-11,106,105,158.81458,14,9.77569
91557000,-108,53,-10,121,120,153.59654,13,7.93494
91558000,-110,67,-24,131,129,148.45412,15,6.24094
91559000,-91,64,-7,112,111,144.734,15,8.26103
91560000,-71,59,-9,93,93,140.46882,16,10.39545
91561000,-78,63,-4,100,100,140.94018,15,8.34701
91562000,-85,60,-18,106,104,145.0516,18,9.68465
91563000,-82,69,-13,108,107,139.81264,15,7.84778
91564000,-96,63,-30,119,115,146.95448,20,9.7331
91565000,-58,79,9,98,98,126.14404,16,15.87472
91566000,-59,70,26,94,91,130.10244,18,6.98716
91567000,-64,89,12,111,110,125.76478,16,5.76813
91568000,-15,99,-7,100,100,98.84402,14,6.14764
91569000,11,109,-7,110,110,84.47056,12,5.65227
91570000,42,104,-7,113,113,67.94808,13,6.4988
91571000,71,94,2,118,118,52.90608,11,7.39894
91572000,78,73,-3,107,107,43.27997,13,9.24043
91573000,76,70,28,107,103,42.84116,14,9.44821
91574000,71,60,24,96,93,40.19224,12,10.02908
91575000,84,63,31,109,105,36.62204,13,8.86595
91576000,85,62,13,106,105,36.39855,10,8.45907
91577000,89,75,-12,117,116,40.39406,12,7.68702
91578000,89,85,-46,131,123,43.81483,18,6.21145
91579000,105,84,-40,140,134,38.74081,16,5.91624
91580000,78,88,-30,121,118,48.5431,14,6.42396
91581000,69,81,-23,109,106,49.61701,13,6.54707
91582000,81,75,-3,110,110,43.00048,12,6.84809
91583000,79,88,-32,122,118,47.96536,14,5.2889
91584000,77,88,-15,118,117,48.99308,11,5.07758
91585000,85,100,-19,133,131,49.77701,11,4.56501
91586000,92,93,14,132,131,45.49101,11,5.13988
91587000,84,91,13,125,124,47.58228,10,5.33032
91588000,81,96,-8,126,125,49.76368,10,4.95219
91589000,82,104,-16,133,132,51.79012,11,4.91865
91590000,71,110,-19,132,131,57.1653,11,4.22288
91591000,66,87,2,109,109,52.71799,8,5.22637
91592000,68,93,28,119,115,53.70783,10,5.23935
91593000,76,101,17,128,127,53.18921,9,4.9017
91594000,66,89,8,111,111,53.26972,11,5.6864
91595000,72,82,9,110,109,48.59882,10,5.24641
91596000,74,97,-2,122,122,52.70162,10,5.32025
91597000,66,98,9,119,118,55.94213,11,5.23053
91598000,75,87,40,122,115,49.33379,13,5.23381
91599000,66,88,10,110,110,53.2243,9,5.27659
91600000,69,95,-8,118,118,54.13255,10,4.8697
91601000,65,91,19,113,112,54.458,10,5.06258
91602000,68,96,19,119,118,54.64215,10,5.20259
91603000,65,96,14,116,115,55.8072,11,4.83291
91604000,71,88,-7,113,113,50.92894,13,5.35358
91605000,79,79,-3,112,112,44.89234,11,5.5872
91606000,64,87,22,111,108,53.45113,12,5.25095
91607000,58,99,9,115,115,59.49853,12,4.7253
91608000,71,87,4,113,113,50.72461,15,6.00916
91609000,76,85,5,114,114,48.38915,14,5.80383
