gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08,dwrd_09,dwrd_10
0,24,0,0,10,5,2,0,583095850,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867511322,2147483689,2147483871
0,23,0,0,10,2,2,0,583095850,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867515432,0,3216
0,18,0,0,10,4,2,0,583095850,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867519548,0,2652
0,12,0,0,10,1,2,0,583095850,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867511322,2147483689,2147483871
0,10,0,0,10,23,2,0,583095850,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867511322,2147483689,2147483871
0,25,0,0,10,21,2,0,586328534,2272406748,535981829,2867523305,2997299780,723939924,854519562,2867511322,2147483689,2147483871
6,16,0,6,4,15,2,0,402698653,1586792868,1735079936,44695557,,,,,,
6,21,0,11,4,16,2,0,436352460,16269498,982812672,44695557,,,,,,
6,9,0,5,4,14,2,0,402764199,3957073872,2079592448,44695557,,,,,,
6,6,0,3,4,31,2,0,436286477,204232326,3833354240,44695557,,,,,,
6,21,2,11,4,88,2,0,436352460,16269498,982812672,44695557,,,,,,
6,255,0,2,4,34,2,0,402668638,2819905044,3002724352,44695557,,,,,,
6,22,0,4,4,13,2,0,402732306,935334393,2686158848,44695557,,,,,,
6,16,2,6,4,90,2,0,402698653,1586792868,1735079936,44695557,,,,,,
6,9,2,5,4,92,2,0,402764199,3957073872,2079592448,44695557,,,,,,
2,29,5,0,8,69,2,0,67509759,4043306775,2617167860,1342160896,2189443072,42,2863308497,822034432,,
6,255,2,2,4,103,2,0,402668638,2819905044,3002724352,44695557,,,,,,
6,22,2,4,4,89,2,0,402732306,935334393,2686158848,44695557,,,,,,
6,7,0,12,4,12,2,0,402698525,1500516790,3826663424,44695557,,,,,,
2,19,5,0,8,71,2,0,67506944,50341655,2551417525,2147647488,2629844992,42,2863303768,3057598464,,
2,26,5,0,8,73,2,0,67508991,3590316055,2550199078,402702336,2147500032,42,2863309829,3024044032,,
6,20,0,9,4,17,2,0,402666842,1655205556,2317889536,44695557,,,,,,
6,20,2,9,4,91,2,0,402666842,1655205556,2317889536,44695557,,,,,,
5,7,0,0,10,20,2,0,583051905,2272404531,1040695288,1044205096,1031766378,2147483689,2147483689,2173719961,2225226214,2222981167
5,2,0,0,10,40,2,0,583051905,2272404531,1040695288,1044205096,1031766378,2147483689,2147483689,2173719961,2225226214,2222981167
1,137,0,0,9,0,2,236,3322699772,2096639,4294836191,4261396483,4290772992,536846265,3149536691,3113568640,0,
1,128,0,0,9,3,2,250,3322601469,4292869631,3757965279,4228063231,4292869631,3758078907,3148322747,2861170048,0,
1,129,0,0,9,18,2,250,3322716156,2096639,4294836191,4261396480,0,536846265,3149536691,2972449728,0,
2,33,1,0,8,48,2,0,50741232,3376897280,780187018,1061175296,2572864930,2359797226,2863295938,1301004288,,
2,26,1,0,8,22,2,0,50741232,1397210944,1690319818,2923462656,2405104866,2359797226,2863294582,537640960,,
2,29,1,0,8,36,2,0,50741233,1468549630,2172923525,1409155072,2300236898,2359797226,2863287988,1120649216,,
2,19,1,0,8,38,2,0,50741233,2760352830,2365865413,1618870272,2530918400,42,2863285149,2038382592,,
1,137,0,0,9,0,2,236,1393057789,4292869631,3221356511,4261404671,4292870143,3221470137,4223380394,222751360,0,
1,128,0,0,9,3,2,250,1393418237,4292869631,4293525471,4261404671,4286579711,1610595257,2075891059,2823420160,0,
1,129,0,0,9,18,2,250,1393074173,4292869631,3221356511,4261404671,4292870143,3221470137,4223380394,29678848,0,
5,3,0,0,10,39,2,250,583051905,2272404531,1040695288,1044205096,1031766378,2147483689,2147483689,2173719961,2225226214,2222981167
2,29,5,0,8,69,2,0,117440511,4278190081,303584905,3796025344,2328657920,42,2863300930,3846127616,,
2,19,5,0,8,71,2,0,117440511,4278190081,303584905,3796025344,2328657920,42,2863300930,3846127616,,
2,26,5,0,8,73,2,0,117440511,4278190081,303584905,3796025344,2328657920,42,2863300930,3846127616,,
6,16,0,6,4,15,2,0,605390820,52007690,1779259392,44695557,,,,,,
6,21,0,11,4,16,2,0,545433473,10523402,1789790208,44695557,,,,,,
6,21,2,11,4,88,2,0,545433473,10523402,1789790208,44695557,,,,,,
