towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
91477000,0.0,0,2390,1,1,2,1,0,15,0
91478000,0.0,0,2390,1,1,2,1,0,15,0
91479000,0.0,0,2390,1,1,2,1,0,15,0
91480000,0.0,0,2390,1,1,2,1,0,15,0
91481000,0.0,0,2390,1,1,2,1,0,15,0
91482000,0.0,0,2390,1,1,2,1,0,15,0
91483000,0.0,0,2390,1,1,2,1,0,15,0
91484000,0.0,0,2390,1,1,2,1,0,15,0
91485000,0.0,0,2390,1,1,2,1,0,15,0
91486000,0.0,0,2390,1,1,2,1,0,15,0
91487000,0.0,0,2390,1,1,2,1,0,15,0
91488000,0.0,0,2390,1,1,2,1,0,15,0
91489000,0.0,0,2390,1,1,2,1,0,15,0
91490000,0.0,0,2390,1,1,2,1,0,15,0
91491000,0.0,0,2390,1,1,2,1,0,15,0
91492000,0.0,0,2390,1,1,2,1,0,15,0
91493000,0.0,0,2390,1,1,2,1,0,15,0
91494000,0.0,0,2390,1,1,2,1,0,15,0
91495000,0.0,0,2390,1,1,2,1,0,15,0
91496000,0.0,0,2390,1,1,2,1,0,15,0
91497000,0.0,0,2390,1,1,2,1,0,15,0
91498000,0.0,0,2390,1,1,2,1,0,15,0
91499000,0.0,0,2390,1,1,2,1,0,15,0
91500000,0.0,0,2390,1,1,2,1,0,15,0
91501000,0.0,0,2390,1,1,2,1,0,15,0
91502000,0.0,0,2390,1,1,2,1,0,15,0
91503000,0.0,0,2390,1,1,2,1,0,15,0
91504000,0.0,0,2390,1,1,2,1,0,15,0
91505000,0.0,0,2390,1,1,2,1,0,15,0
91506000,0.0,0,2390,1,1,2,1,0,15,0
91507000,0.0,0,2390,1,1,2,1,0,15,0
91508000,0.0,0,2390,1,1,2,1,0,15,0
91509000,0.0,0,2390,1,1,2,1,0,15,0
91510000,0.0,0,2390,1,1,2,1,0,15,0
91511000,0.0,0,2390,1,1,2,1,0,15,0
91512000,0.0,0,2390,1,1,2,1,0,15,0
91513000,0.0,0,2390,1,1,2,1,0,15,0
91514000,0.0,0,2390,1,1,2,1,0,15,0
91515000,0.0,0,2390,1,1,2,1,0,15,0
91516000,0.0,0,2390,1,1,2,1,0,15,0
91517000,0.0,0,2390,1,1,2,1,0,15,0
91518000,0.0,0,2390,1,1,2,1,0,15,0
91519000,0.0,0,2390,1,1,2,1,0,15,0
91520000,0.0,0,2390,1,1,2,1,0,15,0
91521000,0.0,0,2390,1,1,2,1,0,15,0
91522000,0.0,0,2390,1,1,2,1,0,15,0
91523000,0.0,0,2390,1,1,2,1,0,15,0
91524000,0.0,0,2390,1,1,2,1,0,15,0
91525000,0.0,0,2390,1,1,2,1,0,15,0
91526000,0.0,0,2390,1,1,2,1,0,15,0
91527000,0.0,0,2390,1,1,2,1,0,15,0
91528000,0.0,0,2390,1,1,2,1,0,15,0
